"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT1G01090"	1065.094	1082.278	1319.869	1170.086	1026.59	1087.289	934.705	1062.611	992.077	905.748	1045.875	770.831	889.889	951.096	901.224
"AT1G01100"	2477.441	2683.504	2557.088	2082.149	2256.34	1755.203	2170.396	1849.763	1945.393	1776.626	1757.378	2052.491	1609.332	1970.031	1968.917
"AT1G01120"	570.978	466.597	290.118	520.129	456.662	402.765	209.28	225.537	254.567	287.458	253.131	264.591	272.516	147.888	150.204
"AT1G01170"	600.488	655.512	715.175	640.159	684.992	595.547	743.061	643.629	677.797	630.196	554.151	572.77	391.432	321.555	333.893
"AT1G01230"	327.352	423.352	354.214	287.418	305.64	324.466	450.304	324.489	371.898	393.766	315.558	366.298	378.55	370.398	374.075
"AT1G01300"	426.861	424.49	356.744	310.281	339.799	304.298	318.623	389.565	370.85	305.318	363.448	398.416	112.97	66.482	46.879
"AT1G01320"	424.116	438.146	444.454	639.342	568.13	566.482	402.099	566.072	515.419	491.57	484.027	583.476	737.28	887.328	805.553
"AT1G01470"	714.409	685.101	688.187	777.336	960.068	875.525	2369.094	2102.044	2086.819	3287.056	3234.259	2138.904	24845.543	29569.466	26838.688
"AT1G01490"	1085.682	1066.346	1047.462	1060.671	927.706	949.079	694.856	715.836	752.177	646.355	695.254	635.477	999.886	1051.497	1111.701
"AT1G01500"	177.744	186.639	227.709	158.407	163.607	208.204	206.928	238.018	197.996	205.813	194.124	196.531	431.071	481.654	514.712
"AT1G01550"	1759.601	1921.015	1993.719	1490.165	1551.571	1497.765	1549.611	1603.723	1666.731	1533.393	1333.212	1430.014	2634.983	2626.709	2336.295
"AT1G01620"	3003.811	3572.315	3845.753	2821.108	3011.45	3137.892	2069.283	2272.312	2520.525	1655.86	1808.688	1703.017	720.434	645.823	1049.515
"AT1G01720"	248.43	195.743	183.011	155.957	174.394	158.378	171.656	219.297	153.997	299.365	298.455	279.12	1865.001	2249.526	2354.472
"AT1G01725"	67.941	79.663	79.276	77.57	120.458	94.315	134.033	87.362	113.141	143.729	96.634	98.648	131.799	103.115	149.247
"AT1G01730"	244.999	241.265	257.227	187.802	203.16	206.425	276.296	279.025	257.71	234.729	230.041	305.121	468.728	434.167	478.357
"AT1G01800"	725.389	669.169	639.272	785.501	711.961	666.135	725.425	624.908	561.513	681.224	830.372	649.242	889.889	1127.477	992.112
"AT1G02090"	160.588	196.881	189.758	186.169	143.83	129.312	181.062	137.284	153.997	211.766	173.6	190.414	206.121	232.008	156.901
"AT1G02140"	903.134	892.225	911.68	799.382	728.142	758.077	919.42	919.087	886.269	890.439	923.585	921.48	1229.791	1373.052	1351.836
"AT1G02150"	492.743	663.479	606.381	559.322	492.619	501.826	611.379	452.858	545.799	332.533	326.676	448.887	226.932	204.872	149.247
"AT1G02205"	621.076	578.126	597.947	802.648	789.27	894.507	1435.565	1127.687	1103.123	1889.738	2404.742	1670.134	1903.649	1174.964	1800.535
"AT1G02280"	552.449	653.236	832.403	538.093	550.151	551.059	558.471	547.352	545.799	420.131	377.131	438.181	324.046	359.544	315.716
"AT1G02305"	759.703	1001.477	869.511	1080.268	1272.899	1000.685	1250.976	1301.52	1240.358	1450.897	1604.302	1511.839	2681.559	2691.834	3192.553
"AT1G02310"	27.451	1.138	9.277	1.633	7.192	5.339	5.879	16.938	2.095	15.308	3.421	13	619.355	925.318	815.12
"AT1G02470"	18.529	25.037	10.12	25.312	25.17	26.693	15.284	153.33	38.761	48.477	76.965	105.53	463.773	377.182	577.855
"AT1G02500"	1489.209	1534.081	1532.398	1820.86	1832.04	1748.678	1803.569	1983.481	1787.205	1871.028	2238.839	2037.962	2127.608	1880.485	1831.15
"AT1G02560"	2421.166	2516.212	2533.474	2249.538	2346.234	2164.493	2439.638	2307.97	2203.102	2448.495	2068.66	2085.374	2067.159	1841.138	2103.813
"AT1G02780"	7224.382	7124.145	6768.019	5631.601	5418.812	4736.497	5624.688	5364.76	5518.756	5257.589	5426.064	5473.055	5051.954	5290.05	4729.036
"AT1G02850"	275.195	59.178	55.662	106.149	89.894	74.147	117.573	138.175	157.14	169.243	138.538	177.414	166.483	240.148	183.689
"AT1G02920"	4218.512	2080.341	1616.734	1103.947	562.737	333.957	573.756	869.166	628.56	91	109.462	477.181	74.323	435.523	149.247
"AT1G02930"	7508.498	3312.841	2536.004	1820.043	927.706	634.103	1116.943	1551.127	1061.219	470.308	409.627	1072.893	278.462	811.349	238.222
"AT1G03130"	14351.313	19189.67	20152.251	21273.848	23791.352	22008.548	20491.784	17915.516	19560.783	17124.16	15808.701	14796.442	3050.199	1739.38	2145.909
"AT1G03220"	2577.636	1567.084	1217.822	578.919	551.949	554.618	284.526	479.601	316.375	201.561	252.276	422.887	2003.737	4379.657	4994.045
"AT1G03330"	286.862	356.207	321.323	277.62	325.416	247.947	295.108	307.551	244.091	332.533	270.234	318.121	355.757	465.372	442.958
"AT1G03350"	313.626	304.995	282.528	320.896	338.002	276.419	277.472	328.054	288.09	267.047	352.331	269.944	646.111	549.492	680.223
"AT1G03380"	150.293	118.356	117.228	156.774	212.15	211.17	213.983	279.025	281.804	295.963	295.889	238.591	456.836	430.096	469.746
"AT1G03475"	1019.113	1235.914	1060.112	1065.57	913.323	911.116	1138.106	1042.108	1033.981	796.037	741.434	925.303	234.859	326.982	241.092
"AT1G03600"	4534.197	6155.671	6174.289	5486.259	6321.348	5428.732	5395.421	4324.435	5026.384	4039.72	3483.114	3587.271	2536.877	2214.25	2285.589
"AT1G03630"	1718.424	1921.015	2036.731	2145.022	2533.214	1991.88	2096.325	1796.276	1846.918	1707.738	1476.026	1605.898	295.308	195.375	265.01
"AT1G03680"	3475.28	4553.307	4330.689	3979.763	4730.224	4425.081	4771.109	4510.748	4529.821	4372.253	4089.43	3594.918	2003.737	1264.511	1539.352
"AT1G03740"	510.586	397.177	298.552	246.592	129.447	170.241	211.631	245.149	231.52	133.523	129.986	172.825	170.446	183.164	152.117
"AT1G03860"	393.92	417.662	303.612	262.922	280.469	298.367	275.121	268.327	258.757	245.785	241.158	325.003	345.848	464.016	394.166
"AT1G03870"	1247.642	1156.251	810.476	467.055	338.002	481.064	148.142	188.096	199.044	79.093	131.696	165.178	28.738	47.487	18.178
"AT1G03900"	440.586	434.732	362.648	413.164	375.757	359.464	432.668	465.338	459.896	395.467	472.91	439.71	879.979	1039.287	994.025
"AT1G03940"	8.235	4.552	0	1.633	17.979	11.863	10.582	4.457	4.19	48.477	18.814	19.883	186.302	141.104	47.836
"AT1G03970"	198.333	200.295	215.059	230.261	158.213	174.393	230.443	229.995	209.52	188.804	227.476	181.237	603.499	740.797	568.288
"AT1G04040"	465.978	571.297	641.802	401.732	370.363	437.17	320.974	356.581	245.138	180.299	139.393	154.472	48.557	54.271	14.351
"AT1G04070"	100.882	55.764	51.445	83.286	93.49	49.827	57.611	63.293	41.904	73.991	70.979	71.883	87.205	104.471	101.412
"AT1G04240"	245.685	300.443	356.744	552.79	316.427	557.584	403.275	353.015	354.089	398.869	420.744	369.357	553.951	331.052	355.897
"AT1G04250"	371.959	328.894	368.551	444.192	451.268	414.036	279.824	238.018	252.472	275.551	295.034	251.591	180.356	109.898	137.767
"AT1G04270"	3811.553	3955.835	3694.79	2915.009	2921.556	2505.569	2772.369	2791.137	2557.191	2600.729	2654.453	2668.85	1877.884	2098.925	1650.331
"AT1G04340"	154.411	153.636	139.156	142.076	129.447	154.225	99.937	114.997	152.95	140.327	122.29	143.766	173.419	180.451	159.771
"AT1G04400"	993.721	955.956	1012.884	956.972	1062.547	1006.617	1275.666	1363.031	1336.737	1109.009	1088.633	1046.893	1522.126	1557.573	1934.475
"AT1G04410"	5689.192	6741.763	5774.533	5251.098	5240.822	4760.224	5917.445	5257.785	5453.804	4712.44	4815.471	5323.171	3001.641	2891.279	3234.649
"AT1G04430"	785.095	876.293	696.621	536.46	638.248	511.909	463.237	488.516	490.277	425.234	373.71	412.181	109.997	66.482	48.792
"AT1G04480"	1381.465	1315.577	1326.616	926.76	924.111	769.94	867.688	956.528	911.412	756.065	799.585	1023.951	718.452	960.594	841.908
"AT1G04620"	124.215	144.531	127.348	102.883	106.075	134.651	166.954	157.787	164.473	111.411	106.896	70.354	93.151	92.26	76.537
"AT1G04680"	1001.27	1076.588	1147.822	870.42	906.132	1019.074	676.044	685.527	734.367	750.112	1202.371	875.597	78.286	59.698	58.36
"AT1G04690"	1081.564	1051.551	898.186	1007.597	929.504	896.88	1028.763	937.808	979.506	1169.393	1151.916	1079.776	1958.152	1888.625	1720.171
"AT1G04750"	940.878	925.228	780.114	718.546	697.578	682.744	931.177	871.84	903.031	825.804	814.123	780.008	758.09	801.852	752.934
"AT1G04820"	1618.915	1464.66	1477.579	1392.182	1260.314	1469.293	1472.013	1246.25	1385.974	1217.869	1514.509	1302.307	456.836	359.544	304.235
"AT1G04970"	170.882	196.881	165.3	249.858	239.118	181.511	241.024	220.189	175.997	214.318	241.158	221.002	527.195	472.156	683.094
"AT1G05010"	4267.923	2954.358	2611.907	2003.762	1666.635	1425.991	1455.553	1317.566	1376.546	781.579	679.006	988.01	290.354	542.708	333.893
"AT1G05060"	143.431	101.286	140.842	166.572	267.884	163.716	215.158	180.965	196.949	213.467	234.317	190.414	475.665	522.357	525.236
"AT1G05140"	322.548	496.186	452.888	470.321	573.524	443.101	618.434	533.98	453.611	482.215	463.503	422.122	724.397	620.044	570.201
"AT1G05190"	3579.593	3967.216	4228.641	3881.779	3798.921	3553.708	3682.384	3387.519	3636.219	2870.327	2587.749	2626.026	1329.879	1115.266	1114.571
"AT1G05340"	293.038	205.986	179.637	151.058	163.607	147.7	181.062	273.676	149.807	291.71	374.565	197.296	25359.855	37334.266	36979.853
"AT1G05805"	472.155	430.18	438.551	340.493	346.991	433.61	378.585	358.364	351.994	350.393	270.234	341.062	64.413	70.552	52.619
"AT1G05850"	5197.822	5806.292	6150.675	5999.039	6348.316	6206.977	5853.956	5666.071	5845.607	5423.43	5538.946	5156.463	2895.608	2485.604	2458.754
"AT1G05890"	174.999	152.498	156.866	152.691	192.373	189.816	150.493	238.018	199.044	197.308	222.345	196.531	511.339	691.953	601.773
"AT1G05940"	216.862	203.71	243.733	262.106	264.288	222.44	311.568	243.366	234.662	235.579	264.248	303.591	455.845	696.023	486.011
"AT1G06040"	2303.128	2622.05	2853.953	3200.794	3861.847	3674.122	3140.373	2801.834	2919.661	4255.739	4016.741	3671.39	5476.088	4680.86	4841.928
"AT1G06130"	317.744	220.78	179.637	225.362	222.937	202.866	232.794	303.985	207.425	237.28	200.11	235.532	211.076	175.023	159.771
"AT1G06190"	570.978	711.276	778.428	536.46	604.088	590.208	670.166	603.513	535.323	450.748	418.179	494.005	543.05	489.794	480.27
"AT1G06210"	205.881	176.397	209.998	230.261	213.948	216.509	191.644	257.63	246.186	307.869	315.558	295.179	912.681	1109.839	942.363
"AT1G06360"	269.705	405.143	352.527	352.741	338.002	382.597	263.363	186.314	212.663	241.533	126.565	129.237	55.494	25.779	16.264
"AT1G06390"	386.371	374.416	344.094	302.116	285.863	329.805	269.242	286.156	276.566	232.178	223.2	266.885	197.203	151.958	136.81
"AT1G06430"	640.291	614.543	576.863	827.96	985.238	1019.074	813.605	717.619	724.939	1309.72	1245.13	940.598	3765.677	4991.56	5048.578
"AT1G06460"	1121.368	1535.219	1728.902	1414.228	1986.658	1990.693	4552.423	4162.191	4237.541	4013.355	3758.479	2609.203	1055.381	740.797	670.656
"AT1G06570"	425.488	463.183	456.261	448.274	384.746	438.356	273.945	330.729	243.043	447.346	442.124	344.886	2644.893	2476.107	2816.565
"AT1G06640"	465.292	394.901	379.515	471.137	485.428	442.508	476.17	349.449	300.661	455.85	502.841	533.77	149.636	116.682	125.329
"AT1G06680"	45466.184	54422.322	57570.752	58946.048	66895.536	60398.2	63054.355	53286.559	56864.762	49577.993	46267.347	43027.372	8252.779	4429.857	5410.216
"AT1G06760"	1384.21	1633.091	1659.746	1782.483	1968.679	1951.544	2078.689	2297.272	2033.391	2020.71	2060.963	1973.726	1598.431	1126.12	1475.252
"AT1G07010"	309.509	195.743	207.468	337.226	399.129	254.472	255.133	230.886	181.235	390.365	376.275	317.356	620.346	671.602	635.258
"AT1G07040"	260.097	211.676	262.287	214.747	257.097	259.217	410.329	458.206	334.184	409.075	477.186	341.827	2343.639	2495.102	2939.024
"AT1G07090"	122.843	144.531	88.554	75.937	71.915	108.551	91.707	123.02	87.998	89.299	59.007	87.942	10.901	29.849	22.004
"AT1G07250"	212.058	258.336	297.709	301.299	321.821	349.973	373.882	393.13	412.754	371.654	402.786	320.415	762.054	670.245	801.726
"AT1G07280"	393.234	542.846	496.743	624.645	643.641	639.442	727.776	711.379	808.747	643.804	503.696	662.242	202.157	160.099	182.732
"AT1G07320"	2982.537	3797.647	3482.262	3138.738	3110.333	2993.751	2869.955	2637.807	2670.332	1944.168	1711.198	2042.55	556.924	302.56	353.984
"AT1G07350"	115.98	87.629	45.542	89.818	93.49	83.044	56.435	64.185	62.856	91.85	68.414	77.236	478.637	652.607	707.011
"AT1G07430"	43.921	15.933	32.891	40.01	23.372	66.436	222.213	148.873	160.283	549.402	654.206	287.532	2574.534	2773.24	2719.937
"AT1G07440"	345.881	434.732	371.925	605.048	555.545	535.043	634.894	506.345	558.371	709.29	794.454	706.595	420.17	227.938	349.2
"AT1G07530"	135.196	87.629	117.228	97.983	100.681	126.346	118.749	135.501	134.093	130.972	177.021	140.707	397.378	409.745	435.305
"AT1G07590"	9165.844	7108.212	7478.977	7588.004	8762.869	7637.713	7539.951	8842.315	7063.965	9939.412	10339.879	9640.744	34856.299	50949.463	62512.627
"AT1G07600"	1251.76	938.885	936.137	1062.304	1301.665	1002.465	1073.441	1253.382	893.603	1310.57	1290.454	1322.954	4222.514	6241.146	8517.622
"AT1G07610"	198.333	165.016	118.071	153.507	172.597	135.244	89.355	152.438	83.808	127.57	216.358	230.943	242.787	265.927	281.274
"AT1G07660"	221.666	293.615	248.793	149.425	199.565	244.981	192.82	271.893	225.234	213.467	225.765	229.414	288.372	269.997	241.092
"AT1G07700"	489.312	406.281	369.395	611.58	596.896	542.755	482.049	459.098	404.374	586.822	543.889	578.888	747.19	786.927	780.678
"AT1G07720"	331.469	351.655	252.167	356.823	370.363	435.39	368.003	307.551	314.28	736.505	722.62	414.475	4959.794	3496.399	4336.783
"AT1G07750"	205.195	212.814	220.119	201.683	318.225	247.354	298.635	270.11	269.233	318.075	355.751	374.71	548.005	782.857	722.319
"AT1G07770"	3335.28	3879.586	3962.138	3316.741	3466.314	3147.976	3484.861	3628.211	3449.746	2949.421	2987.969	3064.972	2259.406	1879.128	1864.635
"AT1G07820"	685.585	851.256	772.524	730.793	658.024	842.901	881.797	967.226	939.697	784.981	816.689	803.714	491.52	439.594	549.154
"AT1G07890"	4925.372	3268.458	2999.856	3519.24	2808.289	2788.513	2986.352	2710.906	2449.288	3473.309	3630.203	3903.098	5318.524	6116.323	4818.01
"AT1G07920"	2773.91	3749.849	3441.78	2973.799	2648.278	2248.724	2571.32	2620.87	2640.999	2465.505	2484.273	2795.793	2246.524	1888.625	2007.185
"AT1G07930"	2075.972	2322.744	2091.55	1802.08	1751.136	1473.445	1947.007	1699.999	1559.876	1598.879	1733.433	1824.607	1827.345	1781.44	1492.473
"AT1G07940"	2725.871	3228.626	2792.388	2551.653	2319.266	1948.578	2485.491	2600.366	2226.149	2304.766	2488.549	2496.025	2096.888	2193.899	1921.081
"AT1G08110"	638.919	638.442	719.392	690.784	891.749	745.62	798.32	794.284	883.127	871.729	794.454	777.714	918.627	1103.055	971.064
"AT1G08200"	1609.993	1735.515	1677.457	1741.656	1781.7	1599.198	1694.226	1568.065	1484.449	1751.112	1766.784	1662.487	2303.009	2233.245	2331.511
"AT1G08360"	2589.989	2785.928	2740.942	2285.465	2333.649	2162.121	2292.672	2233.979	2147.579	2025.813	2027.612	2130.492	1197.089	888.685	963.411
"AT1G08380"	28535.862	36540.263	38918.851	36370.653	44592.829	40178.665	42200.447	35744.561	38497.196	34534.927	34028.131	29671.65	6963.53	4432.571	5174.864
"AT1G08450"	936.075	893.363	920.113	820.612	742.525	643.594	753.642	1038.542	721.796	365.701	452.386	1069.834	166.483	195.375	127.243
"AT1G08480"	606.664	686.24	650.236	529.111	679.599	571.82	624.312	581.227	717.606	637	688.413	707.36	653.048	761.149	734.756
"AT1G08510"	561.37	549.674	523.731	542.992	519.587	563.516	492.631	483.167	473.515	408.224	461.793	466.475	1053.399	1082.703	1162.407
"AT1G08570"	395.292	505.291	521.201	382.952	431.491	474.539	764.224	681.961	772.081	928.71	903.916	774.655	4886.462	6827.271	5989.028
"AT1G08640"	441.959	638.442	487.466	514.413	438.683	448.44	571.404	469.795	496.562	484.766	495.144	450.416	429.089	496.578	483.14
"AT1G08650"	97.451	118.356	123.132	109.415	106.075	88.976	142.263	157.787	135.14	119.065	108.607	97.883	1986.89	3014.745	2223.403
"AT1G08770"	127.647	124.047	157.71	116.764	143.83	102.026	136.385	125.695	97.427	115.664	135.117	104.766	344.857	545.422	457.309
"AT1G08830"	3906.945	3343.568	2668.413	2114.81	1366.389	1845.959	3152.13	3709.333	3385.842	3548.15	2601.432	3474.858	2616.155	3911.571	2971.553
"AT1G08880"	793.33	876.293	970.715	694.05	827.025	780.617	1064.035	936.025	1092.647	877.682	989.433	994.128	755.117	553.563	694.574
"AT1G08890"	114.607	109.252	118.915	124.929	111.469	204.645	440.898	474.253	515.419	481.365	359.172	305.121	743.226	796.425	853.389
"AT1G08920"	221.666	142.255	160.24	167.388	186.98	198.713	259.836	368.17	188.568	332.533	256.551	255.414	1764.914	1567.07	1494.387
"AT1G08930"	4071.65	3378.848	2942.507	1201.931	548.354	643.594	507.915	603.513	622.274	141.178	128.276	263.826	163.51	138.391	122.459
"AT1G08970"	269.018	250.369	307.829	308.648	303.842	277.012	330.38	298.637	274.471	355.495	439.558	335.709	630.255	625.471	690.747
"AT1G08980"	497.547	678.273	748.066	376.42	546.556	481.658	551.417	584.793	641.131	374.206	401.075	374.71	212.067	195.375	223.871
"AT1G09070"	2058.815	1514.734	1176.497	1061.488	951.079	955.011	497.333	626.691	561.513	563.009	574.675	679.83	1016.733	1165.466	1154.753
"AT1G09130"	1287.446	1323.543	1223.725	1228.06	1256.718	1449.125	1412.051	1323.807	1366.07	1497.673	1445.24	1384.132	2240.578	2557.513	2920.847
"AT1G09140"	181.176	201.433	173.734	234.344	228.331	284.724	224.564	209.491	227.329	318.075	297.6	286.003	1880.857	2527.664	2602.261
"AT1G09200"	788.526	881.983	839.15	754.473	818.036	778.838	797.144	818.353	761.605	582.57	655.917	721.89	103.061	94.974	132.026
"AT1G09210"	1078.133	980.992	954.691	983.917	898.94	837.562	800.672	1032.302	1006.743	688.028	810.703	1288.542	232.877	137.034	148.291
"AT1G09240"	79.608	55.764	129.035	109.415	61.128	84.824	95.234	383.324	148.759	153.084	171.889	370.121	251.706	221.154	245.875
"AT1G09250"	254.607	233.299	258.07	217.197	284.065	217.102	166.954	173.833	159.235	133.523	77.821	146.825	308.191	358.188	313.802
"AT1G09310"	8095.26	7418.898	6601.032	9955.122	9611.469	8383.926	8511.103	7875.981	7795.19	13802.234	15013.392	11137.288	6380.841	3193.839	4384.619
"AT1G09330"	445.39	383.52	419.153	339.676	228.331	303.112	345.664	294.179	383.422	352.093	425.02	317.356	462.782	583.412	388.426
"AT1G09340"	4940.47	5503.573	5515.619	5745.915	6179.315	5569.314	4874.573	3923.281	4437.633	4144.327	3976.548	3679.802	739.262	459.945	462.093
"AT1G09350"	10.98	14.795	18.554	39.193	46.745	48.64	288.054	293.288	324.756	230.477	128.276	187.355	19.819	14.924	13.394
"AT1G09430"	564.802	510.981	586.14	560.139	483.63	469.794	557.296	554.483	578.275	410.776	362.593	438.181	313.146	397.534	531.933
"AT1G09490"	271.764	295.891	273.251	352.741	413.513	335.144	380.936	340.535	386.564	513.682	549.02	373.945	1485.461	1371.695	1453.248
"AT1G09500"	113.235	60.316	72.53	66.139	68.319	75.926	95.234	156.004	80.665	111.411	129.986	194.237	4991.505	6886.969	8772.108
"AT1G09560"	1472.739	905.882	778.428	655.673	557.343	497.08	456.183	552.7	489.229	346.991	391.669	514.652	961.239	1359.484	1063.866
"AT1G09570"	382.253	394.901	451.201	315.997	273.278	363.616	324.501	338.752	345.708	220.271	259.972	217.943	350.803	343.263	521.409
"AT1G09590"	1475.484	1478.317	1304.689	1251.739	983.441	1069.493	1171.026	905.715	969.03	1137.075	1033.902	1101.952	512.33	499.292	419.041
"AT1G09620"	432.351	375.554	435.177	467.871	346.991	391.495	378.585	381.542	366.66	330.832	312.993	407.592	261.615	252.359	301.365
"AT1G09640"	1338.23	1149.423	1122.521	1005.147	1098.505	889.762	1186.311	1174.043	1193.216	1067.337	1124.551	1062.187	1516.181	1317.425	1287.737
"AT1G09690"	2884.4	2954.358	2660.822	2336.906	2394.777	2192.966	2347.931	2350.76	2372.813	2065.785	2029.322	2333.906	1203.035	1375.766	1133.706
"AT1G09740"	191.47	92.181	109.638	115.947	111.469	110.924	75.247	121.238	84.856	91.85	93.214	104.766	358.73	440.951	321.456
"AT1G09750"	1738.326	2619.773	2809.255	2234.84	2292.298	2111.701	2429.056	2345.411	2576.048	1103.907	732.027	1207.483	83.241	84.12	91.845
"AT1G09780"	739.115	653.236	597.104	560.955	524.981	566.482	604.325	566.964	551.037	658.262	684.137	582.712	362.694	360.901	231.525
"AT1G09795"	228.528	286.787	244.576	153.507	273.278	322.687	308.041	175.616	249.329	237.28	203.531	205.708	440.981	681.099	461.136
"AT1G09920"	234.705	318.652	243.733	214.747	219.341	242.608	296.284	202.36	225.234	248.336	265.103	274.532	496.475	526.427	604.643
"AT1G09970"	1305.975	688.516	594.574	414.797	276.874	284.131	270.418	314.683	241.996	171.794	164.193	243.179	329.001	474.87	287.014
"AT1G10070"	85.098	116.08	67.469	46.542	17.979	39.743	35.272	68.642	53.428	121.617	88.938	91.766	525.213	525.07	931.839
"AT1G10170"	192.842	120.632	130.722	117.58	186.98	102.026	116.397	140.849	138.283	102.056	111.172	85.648	214.049	320.198	306.148
"AT1G10200"	648.527	870.602	904.933	772.436	825.227	918.827	1088.725	1173.151	1266.548	808.794	876.551	871.009	230.895	149.245	202.823
"AT1G10360"	306.763	394.901	425.9	498.083	463.853	568.261	352.719	417.2	401.231	375.907	360.882	447.357	225.941	238.792	277.447
"AT1G10410"	230.587	142.255	171.203	147.792	208.554	163.716	139.912	221.972	200.092	252.589	263.393	254.65	490.529	667.531	573.071
"AT1G10470"	897.643	985.545	1164.69	714.463	976.249	757.484	868.864	790.718	730.177	472.86	469.489	654.595	307.2	251.003	298.495
"AT1G10500"	898.33	847.842	837.463	1087.617	1328.634	1220.753	1316.817	1212.375	1118.837	1600.58	1435.833	1375.72	2079.05	1876.414	2213.835
"AT1G10590"	1060.29	971.888	987.583	890.017	850.397	771.127	1052.278	1004.667	898.841	870.879	933.847	955.892	1289.249	1670.185	1412.109
"AT1G10630"	768.624	694.206	705.055	614.03	656.226	597.92	584.337	617.776	662.083	554.505	639.668	666.065	596.563	633.612	439.132
"AT1G10670"	1014.996	994.649	1098.907	1152.939	1098.505	1116.354	1106.361	990.403	971.125	1092	1180.137	968.127	1156.459	1055.568	916.532
"AT1G10760"	456.371	498.463	483.249	467.871	517.79	526.146	1241.57	1310.435	1245.596	1005.252	899.64	844.244	283.417	284.922	309.019
"AT1G10950"	376.763	463.183	441.924	317.63	370.363	408.104	429.141	400.262	355.136	304.467	397.655	354.062	300.263	286.279	223.871
"AT1G10960"	2321.657	2070.099	2054.442	3391.862	3703.634	2948.67	1811.799	1526.166	1639.494	1822.552	1793.295	1825.371	1324.924	915.82	1084.913
"AT1G11210"	56.961	118.356	107.108	103.699	95.288	113.889	581.986	565.181	486.086	556.206	521.655	490.946	257.652	267.284	203.78
"AT1G11260"	5143.606	6053.247	6835.488	2029.891	2135.882	2567.259	1004.073	1306.869	1367.118	376.757	492.579	415.239	359.721	326.982	422.867
"AT1G11310"	1324.504	1190.392	1149.509	909.613	785.674	800.785	987.612	1019.821	831.794	667.617	631.972	713.478	585.662	590.195	430.521
"AT1G11430"	989.604	1057.241	1076.979	1046.79	1199.186	956.197	1079.319	950.288	1167.026	894.692	743.999	921.48	727.37	839.841	554.894
"AT1G11475"	295.783	256.06	204.095	247.408	219.341	134.651	217.51	218.406	235.71	233.879	285.627	235.532	239.814	208.943	201.867
"AT1G11480"	161.96	196.881	195.661	168.205	147.426	204.052	171.656	208.6	205.33	221.122	190.703	183.531	510.348	569.844	637.171
"AT1G11530"	236.077	316.376	384.575	253.124	298.448	340.482	550.241	528.631	596.084	392.916	344.634	321.18	175.401	75.979	184.646
"AT1G11580"	432.351	349.379	263.974	356.007	345.193	263.963	188.117	157.787	167.616	187.953	194.979	230.943	71.35	74.622	70.797
"AT1G11650"	1223.622	1297.368	1227.942	1150.489	1184.803	1041.021	1191.014	1071.526	1047.6	1120.916	1064.689	1049.187	1692.573	2459.826	2016.752
"AT1G11680"	394.606	549.674	454.575	511.964	541.162	494.114	482.049	500.996	490.277	463.505	463.503	525.358	254.679	191.305	150.204
"AT1G11700"	54.902	53.488	94.457	115.131	142.033	121.008	159.899	135.501	136.188	324.028	339.503	238.591	198.194	113.969	127.243
"AT1G11750"	844.114	924.09	904.933	767.537	760.503	745.027	868.864	737.231	730.177	781.579	717.489	716.537	559.897	553.563	571.158
"AT1G11840"	2815.086	2356.886	1943.961	2854.586	3203.823	2711.4	3190.929	2523.701	2736.331	3831.355	3867.941	3464.152	3047.226	3097.508	2896.929
"AT1G11860"	5538.212	6540.329	5969.351	7223.016	7581.662	7495.944	5560.023	4585.63	5185.619	4902.094	4550.368	4363.455	699.623	533.211	495.578
"AT1G11890"	392.547	382.382	304.455	243.326	240.916	277.606	285.702	291.505	275.519	226.224	320.689	286.768	462.782	750.294	553.937
"AT1G11910"	2754.008	3005.57	3047.084	3531.488	3856.454	3245.85	3883.433	4334.241	3757.74	4395.215	4360.52	4184.513	8825.559	8992.678	9095.477
"AT1G12050"	300.587	274.268	252.167	376.42	404.523	315.569	426.79	353.907	395.993	490.72	489.158	373.945	420.17	272.711	287.014
"AT1G12090"	18646.001	18792.493	17148.178	21949.117	23431.776	24712.83	19814.564	19414.047	20946.757	19426.375	18922.381	16619.519	7907.923	3071.729	3714.919
"AT1G12110"	656.076	583.816	448.671	534.01	458.46	413.443	360.949	314.683	341.518	444.794	329.241	445.828	274.498	305.273	246.832
"AT1G12240"	465.978	672.583	640.115	876.952	756.908	807.903	437.371	367.278	438.944	373.355	493.434	478.711	421.161	298.49	464.963
"AT1G12250"	344.508	345.965	402.286	475.22	530.375	472.167	399.748	470.687	421.135	410.776	478.896	324.239	293.326	165.526	279.36
"AT1G12310"	747.35	884.259	802.042	765.088	649.035	762.229	711.316	762.192	662.083	639.551	794.454	838.891	583.68	508.789	574.985
"AT1G12410"	943.624	984.407	992.643	922.678	958.27	907.557	901.784	952.071	998.363	915.953	833.792	891.656	832.413	877.831	934.709
"AT1G12440"	996.466	979.854	1283.604	803.465	898.94	971.026	730.128	853.12	845.413	522.187	493.434	526.888	991.959	887.328	1208.329
"AT1G12710"	96.764	102.424	117.228	125.745	84.5	151.259	262.188	321.814	288.09	126.72	100.91	79.53	102.07	86.833	82.277
"AT1G12780"	762.448	962.784	976.619	516.863	532.173	653.085	402.099	543.786	480.848	402.271	484.882	350.239	738.271	523.714	1585.275
