"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT2G37110"	1086.368	900.191	781.801	642.608	578.918	643.594	503.212	602.622	496.562	587.673	625.986	703.536	1418.075	1873.701	1785.228
"AT2G37120"	192.156	212.814	233.613	262.106	228.331	198.12	277.472	281.699	241.996	250.888	209.517	183.531	173.419	226.581	251.616
"AT2G37170"	671.174	1011.72	1184.087	1280.318	1467.07	1299.645	1025.236	995.752	1002.553	853.019	944.109	1014.775	127.835	85.477	186.559
"AT2G37190"	1642.248	1774.208	1760.95	1284.4	1380.772	1206.517	1466.134	1419.192	1378.641	1217.869	1293.019	1344.366	928.537	819.49	940.45
"AT2G37220"	4596.648	5621.929	5301.404	3986.295	4207.04	4056.719	6481.795	5485.106	5794.274	4803.44	5036.105	4402.456	3534.782	3140.925	3271.961
"AT2G37240"	380.194	391.487	366.021	471.954	449.47	485.81	449.129	451.075	400.183	662.514	595.199	547.535	540.077	649.893	532.89
"AT2G37250"	431.665	327.756	361.804	280.886	239.118	234.304	266.891	245.149	233.615	238.981	261.682	280.65	322.065	430.096	296.581
"AT2G37270"	1465.876	1076.588	1319.026	1087.617	1116.484	998.312	1133.403	1034.085	1029.791	881.084	956.937	1048.422	588.635	602.406	541.5
"AT2G37410"	811.859	823.943	788.548	792.033	827.025	904.591	839.471	1018.93	922.935	918.505	1106.592	832.773	2279.226	2028.373	2207.138
"AT2G37470"	435.096	529.19	594.574	404.182	499.811	440.729	445.601	550.917	419.04	286.607	354.896	403.769	196.212	222.51	342.503
"AT2G37478"	815.977	982.131	908.306	774.886	810.844	881.457	1169.851	1267.645	1111.503	847.916	848.33	957.421	1244.655	1214.31	1189.195
"AT2G37480"	815.977	982.131	908.306	774.886	810.844	881.457	1169.851	1267.645	1111.503	847.916	848.33	957.421	1244.655	1214.31	1189.195
"AT2G37660"	2032.737	2484.346	2009.743	1808.612	1747.54	1777.744	1845.895	1677.713	1906.632	1228.075	1174.151	1363.484	269.543	257.786	185.602
"AT2G37710"	968.329	955.956	695.778	802.648	650.833	683.93	972.328	994.861	987.887	741.608	702.096	1031.599	185.311	225.224	145.42
"AT2G37750"	30.882	28.451	37.952	12.248	23.372	31.438	11.757	37.441	11.524	16.159	23.09	55.059	44.594	17.638	56.446
"AT2G37760"	413.822	139.979	92.77	195.15	183.384	129.905	171.656	154.221	124.664	251.738	261.682	224.826	1237.719	1560.287	1581.448
