Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
ChrSy.fgenesh.gene.1	0	0	0	0	0	0
ChrSy.fgenesh.gene.10	0	0	0	0	0	0
ChrSy.fgenesh.gene.11	0	0	0	0	0	0
ChrSy.fgenesh.gene.12	0	0	0	0	0	0
ChrSy.fgenesh.gene.13	0	0	0	0	0	0
ChrSy.fgenesh.gene.14	0	0	0	0	0	0
ChrSy.fgenesh.gene.15	0	0	0	0	0	0
ChrSy.fgenesh.gene.16	0	0	0	0	0	0
ChrSy.fgenesh.gene.17	0	0	0	0	0	0
ChrSy.fgenesh.gene.18	0	0	0	0	0	0
ChrSy.fgenesh.gene.19	0	0	0	0	0	0
ChrSy.fgenesh.gene.2	0	0	0	0	0	0
ChrSy.fgenesh.gene.20	0	0	0	0	0	0
ChrSy.fgenesh.gene.21	0	0	0	0	0	0
ChrSy.fgenesh.gene.22	0	0	0	0	0	0
ChrSy.fgenesh.gene.23	0	0	0	0	0	0
ChrSy.fgenesh.gene.24	0	0	0	0	0	0
ChrSy.fgenesh.gene.25	0	0	0	0	0	0
ChrSy.fgenesh.gene.26	0	0	0	0	0	0
ChrSy.fgenesh.gene.27	0	0	0	0	0	0
ChrSy.fgenesh.gene.28	0	0	0	0	0	0
ChrSy.fgenesh.gene.29	0	0	0	0	0	0
ChrSy.fgenesh.gene.3	0	0	0	0	0	0
ChrSy.fgenesh.gene.30	0	0	0	0	0	0
ChrSy.fgenesh.gene.31	0	0	0	0	0	0
ChrSy.fgenesh.gene.32	0	0	0	0	0	0
ChrSy.fgenesh.gene.33	0	0	0	0	0	0
ChrSy.fgenesh.gene.34	0	0	0	0	0	0
ChrSy.fgenesh.gene.35	0	0	0	0	0	0
ChrSy.fgenesh.gene.36	0	0	0	0	0	0
ChrSy.fgenesh.gene.37	0	0	0	0	0	0
ChrSy.fgenesh.gene.38	0	0	0	0	0	0
ChrSy.fgenesh.gene.39	0	0	0	0	0	0
ChrSy.fgenesh.gene.4	0	0	0	0	0	0
ChrSy.fgenesh.gene.40	0	0	0	0	0	0
ChrSy.fgenesh.gene.41	0	0	0	0	0	0
ChrSy.fgenesh.gene.42	0	0	0	0	0	0
ChrSy.fgenesh.gene.43	0	0	0	0	0	0
ChrSy.fgenesh.gene.44	0	0	0	0	0	0
ChrSy.fgenesh.gene.45	0	0	0	0	0	0
ChrSy.fgenesh.gene.46	0	0	0	0	0	0
ChrSy.fgenesh.gene.47	0	0	0	0	0	0
ChrSy.fgenesh.gene.48	0	0	0	0	0	0
ChrSy.fgenesh.gene.49	0	0	0	0	0	0
ChrSy.fgenesh.gene.5	0	0	0	0	0	0
ChrSy.fgenesh.gene.50	0	0	0	0	0	0
ChrSy.fgenesh.gene.51	0	0	0	0	0	0
ChrSy.fgenesh.gene.52	0	0	0	0	0	0
ChrSy.fgenesh.gene.53	0	0	0	0	0	0
ChrSy.fgenesh.gene.54	0	0	0	0	0	0
ChrSy.fgenesh.gene.55	0	0	0	0	0	0
ChrSy.fgenesh.gene.56	0	0	0	0	0	0
ChrSy.fgenesh.gene.57	0	0	0	0	0	0
ChrSy.fgenesh.gene.58	0	0	0	0	0	0
ChrSy.fgenesh.gene.59	0	0	0	0	0	0
ChrSy.fgenesh.gene.6	0	0	0	0	0	0
ChrSy.fgenesh.gene.60	0	0	0	0	0	0
ChrSy.fgenesh.gene.61	0	0	0	0	0	0
ChrSy.fgenesh.gene.62	0	0	0	0	0	0
ChrSy.fgenesh.gene.63	0	0	0	0	0	0
ChrSy.fgenesh.gene.64	0	0	0	0	0	0
ChrSy.fgenesh.gene.65	0	0	0	0	0	0
ChrSy.fgenesh.gene.66	0	0	0	0	0	0
ChrSy.fgenesh.gene.67	0	0	0	0	0	0
ChrSy.fgenesh.gene.68	0	0	0	0	0	0
ChrSy.fgenesh.gene.69	0	0	0	0	0	0
ChrSy.fgenesh.gene.7	0	0	0	0	0	0
ChrSy.fgenesh.gene.70	0	0	0	0	0	0
ChrSy.fgenesh.gene.71	0	0	0	0	0	0
ChrSy.fgenesh.gene.72	0	0	0	0	0	0
ChrSy.fgenesh.gene.73	0	0	0	0	0	0
ChrSy.fgenesh.gene.74	0	0	0	0	0	0
ChrSy.fgenesh.gene.75	0	0	0	0	0	0
ChrSy.fgenesh.gene.76	0	0	0	0	0	0
ChrSy.fgenesh.gene.77	0	0	0	0	0	0
ChrSy.fgenesh.gene.78	0	0	0	0	0	0
ChrSy.fgenesh.gene.79	0	0	0	0	0	0
ChrSy.fgenesh.gene.8	0	0	0	0	0	0
ChrSy.fgenesh.gene.80	0	0	0	0	0	0
ChrSy.fgenesh.gene.81	0	0	0	0	0	0
ChrSy.fgenesh.gene.82	0	0	0	0	0	0
ChrSy.fgenesh.gene.83	0	0	0	0	0	0
ChrSy.fgenesh.gene.84	0	0	0	0	0	0
ChrSy.fgenesh.gene.85	0	0	0	0	0	0
ChrSy.fgenesh.gene.86	0	0	0	0	0	0
ChrSy.fgenesh.gene.87	0	0	0	0	0	0
ChrSy.fgenesh.gene.88	0	0	0	0	0	0
ChrSy.fgenesh.gene.89	0	0	0	0	0	0
ChrSy.fgenesh.gene.9	0	0	0	0	0	0
ChrUn.fgenesh.gene.1	0	0	0	0	0	0
ChrUn.fgenesh.gene.10	0	0	0	0	0	0
ChrUn.fgenesh.gene.11	0	0	0	0	0	0
ChrUn.fgenesh.gene.12	0	0	0	0	0	0
ChrUn.fgenesh.gene.13	0	0	0	0	0	0
ChrUn.fgenesh.gene.14	0	0	0	0	0	0
ChrUn.fgenesh.gene.15	0	0	0	0	0	0
ChrUn.fgenesh.gene.16	0	0	0	0	0	0
ChrUn.fgenesh.gene.17	0	0	0	0	0	0
ChrUn.fgenesh.gene.18	0	0	0	0	0	0
ChrUn.fgenesh.gene.19	0	0	0	0	0	0
ChrUn.fgenesh.gene.2	0	0	0	0	0	0
ChrUn.fgenesh.gene.20	0	0	0	0	0	0
ChrUn.fgenesh.gene.21	0	0	0	0	0	0
ChrUn.fgenesh.gene.22	0	0	0	0	0	0
ChrUn.fgenesh.gene.23	0	0	0	0	0	0
ChrUn.fgenesh.gene.24	0	0	0	0	0	0
ChrUn.fgenesh.gene.25	0	0	0	0	0	0
ChrUn.fgenesh.gene.26	0	0	0	0	0	0
ChrUn.fgenesh.gene.27	0	0	0	0	0	0
ChrUn.fgenesh.gene.28	0	0	0	0	0	0
ChrUn.fgenesh.gene.29	0	0	0	0	0	0
ChrUn.fgenesh.gene.3	0	0	0	0	0	0
ChrUn.fgenesh.gene.30	0	0	0	0	0	0
ChrUn.fgenesh.gene.31	0	0	0	0	0	0
ChrUn.fgenesh.gene.32	0	0	0	0	0	0
ChrUn.fgenesh.gene.33	0	0	0	0	0	0
ChrUn.fgenesh.gene.34	0	0	0	0	0	0
ChrUn.fgenesh.gene.35	0	0	0	0	0	0
ChrUn.fgenesh.gene.36	0	0	0	0	0	0
ChrUn.fgenesh.gene.37	0	0	0	0	0	0
ChrUn.fgenesh.gene.38	0	0	0	0	0	0
ChrUn.fgenesh.gene.39	0	0	0	0	0	0
ChrUn.fgenesh.gene.4	0	0	0	0	0	0
ChrUn.fgenesh.gene.40	0	0	0	0	0	0
ChrUn.fgenesh.gene.41	0	0	0	0	0	0
ChrUn.fgenesh.gene.42	0	0	0	0	0	0
ChrUn.fgenesh.gene.43	0	0	0	0	0	0
ChrUn.fgenesh.gene.44	0	0	0	0	0	0
ChrUn.fgenesh.gene.45	0	0	0	0	0	0
ChrUn.fgenesh.gene.46	0	0	0	0	0	0
ChrUn.fgenesh.gene.47	0	0	0	0	0	0
ChrUn.fgenesh.gene.48	0	0	0	0	0	0
ChrUn.fgenesh.gene.49	0	0	0	0	0	0
ChrUn.fgenesh.gene.5	0	0	0	0	0	0
ChrUn.fgenesh.gene.50	0	0	0	0	0	0
ChrUn.fgenesh.gene.51	0	0	0	0	0	0
ChrUn.fgenesh.gene.52	0	0	0	0	0	0
ChrUn.fgenesh.gene.53	0	0	0	0	0	0
ChrUn.fgenesh.gene.54	0	0	0	0	0	0
ChrUn.fgenesh.gene.55	0	0	0	0	0	0
ChrUn.fgenesh.gene.56	0	0	0	0	0	0
ChrUn.fgenesh.gene.57	0	0	0	0	0	0
ChrUn.fgenesh.gene.58	0	0	0	0	0	0
ChrUn.fgenesh.gene.59	0	0	0	0	0	0
ChrUn.fgenesh.gene.6	0	0	0	0	0	0
ChrUn.fgenesh.gene.60	0	0	0	0	0	0
ChrUn.fgenesh.gene.61	0	0	0	0	0	0
ChrUn.fgenesh.gene.62	0	0	0	0	0	0
ChrUn.fgenesh.gene.63	0	0	0	0	0	0
ChrUn.fgenesh.gene.64	0	0	0	0	0	0
ChrUn.fgenesh.gene.65	0	0	0	0	0	0
ChrUn.fgenesh.gene.66	0	0	0	0	0	0
ChrUn.fgenesh.gene.67	0	0	0	0	0	0
ChrUn.fgenesh.gene.68	0	0	0	0	0	0
ChrUn.fgenesh.gene.69	0	0	0	0	0	0
ChrUn.fgenesh.gene.7	0	0	0	0	0	0
ChrUn.fgenesh.gene.70	0	0	0	0	0	0
ChrUn.fgenesh.gene.71	0	0	0	0	0	0
ChrUn.fgenesh.gene.72	0	0	0	0	0	0
ChrUn.fgenesh.gene.73	0	0	0	0	0	0
ChrUn.fgenesh.gene.74	0	0	0	0	0	0
ChrUn.fgenesh.gene.75	0	0	0	0	0	0
ChrUn.fgenesh.gene.76	0	0	0	0	0	0
ChrUn.fgenesh.gene.77	0	0	0	0	0	0
ChrUn.fgenesh.gene.78	0	0	0	0	0	0
ChrUn.fgenesh.gene.79	0	0	0	0	0	0
ChrUn.fgenesh.gene.8	0	0	0	0	0	0
ChrUn.fgenesh.gene.80	0	0	0	0	0	0
ChrUn.fgenesh.gene.81	0	0	0	0	0	0
ChrUn.fgenesh.gene.82	0	0	0	0	0	0
ChrUn.fgenesh.gene.83	0	0	0	0	0	0
ChrUn.fgenesh.gene.84	0	0	0	0	0	0
ChrUn.fgenesh.gene.85	0	0	0	0	0	0
ChrUn.fgenesh.gene.86	0	0	0	0	0	0
ChrUn.fgenesh.gene.87	0	0	0	0	0	0
ChrUn.fgenesh.gene.88	0	0	0	0	0	0
ChrUn.fgenesh.gene.89	0	0	0	0	0	0
ChrUn.fgenesh.gene.9	0	0	0	0	0	0
ChrUn.fgenesh.gene.90	0	0	0	0	0	0
ChrUn.fgenesh.gene.91	0	0	0	0	0	0
ChrUn.fgenesh.gene.92	0	0	0	0	0	0
ChrUn.fgenesh.gene.93	0	0	0	0	0	0
ChrUn.fgenesh.gene.94	0	0	0	0	0	0
ChrUn.fgenesh.gene.95	0	0	0	0	0	0
ChrUn.fgenesh.gene.96	0	0	0	0	0	0
LOC_Os01g01010	889	788	765	819.5	895	682
LOC_Os01g01019	4	4	2	2	2	2
LOC_Os01g01030	117	151	128	119	122	108
LOC_Os01g01040	682	669	626	672	728	678
LOC_Os01g01050	569	603	630	612	682	646
LOC_Os01g01060	509	669	662	1004	1092	1167
LOC_Os01g01070	439	435	424	414	466	371
LOC_Os01g01080	1416	1357	1338	1723	2072	1376
LOC_Os01g01090	0	0	0	0	0	0
LOC_Os01g01100	0	0	0	1	0	0
LOC_Os01g01110	2	2	3	5	5	3
LOC_Os01g01115	41	59	82	82	81	70
LOC_Os01g01120	1589	1856	1104.5	1698	1751	1869
LOC_Os01g01130	169	176	163	111	168	132
LOC_Os01g01140	0	0	0	0	0	0
LOC_Os01g01150	1777	1823	1727	1444	1575	1353
LOC_Os01g01160	438	437	346	787	998	771
LOC_Os01g01170	1	4	3	5	2	1
LOC_Os01g01180	0	0	0	1	0	0
LOC_Os01g01190	0	1	1	10	16	2
LOC_Os01g01200	1	0	1	0	0	0
LOC_Os01g01210	0	0	0	0	0	0
LOC_Os01g01230	0	1	0	0	0	0
LOC_Os01g01240	0.3	0.14	0.91	0.34	0.3	0.77
LOC_Os01g01250	0	0	1	0	1	1
LOC_Os01g01260	2.67	1.31	1	0.37	0	1.17
LOC_Os01g01270	0	1	2	0	1	0
LOC_Os01g01280	1855	2417	1833.67	1421	1653	1297
LOC_Os01g01290	35	25	31	46	60	58
LOC_Os01g01295	166	200	131	266	257	223
LOC_Os01g01302	4259	4400	4153	2735	3283	2877
LOC_Os01g01307	674	717	717	746	867	687
LOC_Os01g01312	418	417	385	358	393	333
LOC_Os01g01320	0.33	1	1	1	0	0
LOC_Os01g01330	84	93	66	150	128	131
