GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g43550	25.44520473	29.12677024	72.57801104	66.41728878
LOC_Os12g43550	9.571132056	15.96050679	19.94205512	19.5108555
LOC_Os12g43540	0	0	0	0
LOC_Os12g43530	0	0	0	0
LOC_Os12g43520	36.67665874	31.39263086	26.9712914	22.27718143
LOC_Os12g43510	7.960095204	10.61075868	0	0.600701417
LOC_Os12g43500	0	0	0.313946056	0
LOC_Os12g43490	0.889252203	1.128921714	37.06051633	6.11415842
LOC_Os12g43480	0	0	0	0
LOC_Os12g43470	0	0	0.058787938	0
LOC_Os12g43460	0	0	0	0
LOC_Os12g43450	3.361386231	0.962557998	9.983074654	7.654422007
LOC_Os12g43440	2.375078871	0.234951076	6.92807652	3.476037592
LOC_Os12g43430	0	0.964131662	0	0
LOC_Os12g43410	0	0	0	0
LOC_Os12g43400	0	0	0	0
LOC_Os12g43390	0.309685609	1.347947885	0	0.311601941
LOC_Os12g43380	91.84753131	69.11495315	93.63351741	60.92740692
LOC_Os12g43370	51.2383697	54.53727177	52.59527641	60.04691541
LOC_Os12g43363	0	0	0	0
LOC_Os12g43363	1.685400254	8.436318616	0	0
LOC_Os12g43363	9.563820267	11.27419647	0.755844917	0.458238149
LOC_Os12g43350	3.842480225	4.050563485	2.125744051	2.053949281
LOC_Os12g43340	59.52990166	50.76043245	17.06049956	28.27984005
LOC_Os12g43330	0	0	0	0
LOC_Os12g43320	0	0	0	0.446969998
LOC_Os12g43310	0	0	0	0
LOC_Os12g43300	0	0	0	0
LOC_Os12g43290	0	0	0	0
LOC_Os12g43280	0	0	0	0
LOC_Os12g43270	0	0	0	0
LOC_Os12g43260	0	0	0	0
LOC_Os12g43230	0.041433472	0.090172355	0.137531415	0
LOC_Os12g43220	0	0	0	0
LOC_Os12g43200	0	0	0	0
LOC_Os12g43179	0.100299164	0.109141369	0	0
LOC_Os12g43165	0.149606574	0.04069891	0.248296881	0.150532339
LOC_Os12g43160	0	0	0	0
LOC_Os12g43150	0	0	0	0
LOC_Os12g43140	0	0.524201955	3.198063828	1.211785327
