ID	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10
AT3G62610	0	0	0	0	0	0	0	1.3191	0	1.9234	0	0	1.0438	8.3929	1.3466	0	0	0	0	0
AT3G62620	35.0727	49.4908	35.1282	34.0037	34.4369	22.9698	52.5382	30.9982	54.136	43.2772	33.9625	58.8419	26.0939	28.3261	26.9313	45.7426	31.5907	19.596	47.9085	35.7423
AT3G62630	297.7285	330.6559	330.2054	304.1442	322.5306	270.7656	236.1393	267.1118	265.6046	230.8119	254.1333	310.1128	243.195	238.1491	224.8763	48.1501	27.7999	40.044	129.6348	39.9473
AT3G62640	0	0	0	0	0.8399	0	0	0	0	0	0	4.771	0	0	1.3466	4.815	2.5273	1.704	5.6363	0
AT3G62650	643.0001	644.0976	726.2762	712.1886	527.4719	737.1229	725.3658	754.5085	764.6707	673.2015	1111.3941	963.7352	1367.3196	1309.2955	1392.3476	1599.7857	1137.2669	1140.828	1148.3953	1558.9961
AT3G62660	254.8618	296.2275	294.1989	268.2514	320.0108	320.1856	440.0778	339.0012	410.2492	318.3281	291.6092	330.787	327.7392	290.6048	324.522	952.1674	797.3505	861.372	663.6738	871.482
AT3G62670	0	0	0	0	0	0	0	0	0	0	0	3.1806	0	0	0	0	0	0	0	0
AT3G62680	0	0	0	0	0	0	1.1299	0	0	0.9617	0	3.1806	0	9.442	0	0	0	1.704	0	0
AT3G62690	96.6449	70.2913	94.8462	102.0111	99.9509	77.2622	99.992	103.5471	66.8241	107.7122	66.7539	106.5516	94.9817	107.0097	130.6167	193.804	165.5355	134.616	128.2257	96.7145
AT3G62700	280.5818	221.6327	292.4425	304.1442	276.3348	254.0603	162.1339	209.0727	188.6301	251.008	249.4488	294.2096	240.0637	279.0646	286.8182	240.7503	189.5445	227.484	233.9063	215.5052
AT3G62710	0	0	0	0	0	0	0	0	1.6917	0	0	14.3129	0	0	0	0	3.7909	0	0	0
AT3G62720	48.3224	79.6156	116.8014	66.1183	119.2691	66.1253	66.6613	91.0159	105.7343	73.0904	63.2406	33.3968	32.3564	7.3438	29.6244	27.6863	56.8633	38.34	22.5452	25.2299
AT3G62730	1.5588	0	0	1.8891	0	1.3921	3.9545	0	0.8459	2.8851	2.3422	3.1806	3.1313	10.4911	18.8519	26.4825	58.127	23.856	40.8631	26.2811
AT3G62740	2.3382	8.6071	6.1474	5.6673	10.0791	3.4803	6.7791	8.574	7.6129	4.8086	4.6845	1.5903	14.6126	6.2947	14.8122	24.075	21.4817	34.932	42.2722	27.3324
AT3G62750	523.7528	554.4403	493.5516	419.379	434.2404	483.0626	611.2506	558.6265	535.4387	423.1552	563.3093	475.5063	574.0655	539.2451	620.7662	121.5789	61.9179	72.42	74.6809	121.9444
AT3G62760	0	0	0	0	0	0	0	0.6595	0	0	0	0	0	0	0	0	2.5273	0	0	0
AT3G62770	107.5564	124.0856	144.904	68.0074	118.4292	147.5638	137.2772	124.6522	106.5802	98.0951	242.4221	216.2838	194.1385	268.5734	180.4396	312.9754	341.1801	340.8	308.5872	306.9635
AT3G62780	2.3382	2.869	2.6346	0	0	8.3527	4.5194	3.9572	5.9211	2.8851	4.6845	9.5419	8.35	9.442	13.4656	1.2038	1.2636	0	4.2272	3.1537
AT3G62790	732.6304	675.6569	747.3531	844.4252	725.6938	701.624	685.256	747.9131	834.0324	729.9427	756.5444	672.7062	613.7282	509.8699	592.4883	935.3149	895.9136	970.428	894.762	898.8144
AT3G62800	68.5867	49.4908	59.718	64.2292	77.273	79.3503	71.1808	82.4419	67.67	81.7459	91.3475	77.9258	99.1568	133.2376	99.6458	176.9515	180.6991	189.996	221.2246	226.0176
AT3G62810	222.1273	240.2814	205.5002	230.4695	144.4668	171.2297	162.6989	224.9016	171.7126	176.9558	201.4329	268.7644	202.4886	163.6619	145.429	337.0504	322.2256	330.576	267.7241	300.656
AT3G62820	327.3455	284.0341	300.3464	324.9242	315.8112	213.6891	302.2357	304.0458	411.0951	301.0172	380.6144	395.9902	466.5587	471.0526	550.7448	116.7639	82.1359	77.532	78.9081	163.9942
AT3G62830	206.5394	251.0403	186.1796	243.6932	204.1014	238.7471	185.8609	253.2616	164.0997	184.6495	285.7536	257.6322	247.37	182.546	210.064	414.0905	501.6611	564.876	603.0837	559.2623
AT3G62840	913.4498	795.439	889.6225	1108.8984	939.8743	732.2505	676.7821	724.1698	805.2727	800.148	585.5607	574.1063	589.7218	551.8345	596.528	617.5245	644.4513	692.676	604.4927	575.0309
AT3G62850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62860	22.6024	35.1456	51.8141	32.1146	35.2768	41.7633	50.2785	56.0605	51.5984	47.1241	35.1336	55.6613	53.2315	51.4066	37.7038	4.815	12.6363	4.26	4.2272	9.4612
AT3G62870	3324.8948	3167.4108	3016.6368	3339.9189	3389.091	1935.0345	2084.5792	2407.3041	2530.857	2412.9464	1347.9606	1277.0286	913.286	1014.4942	834.8699	1113.4701	813.7777	1400.688	1046.942	1135.3445
AT3G62880	78.7188	68.8568	78.1603	56.6728	78.9528	66.8213	59.8822	65.294	71.0535	93.2865	92.5186	100.1903	76.1941	145.827	95.6061	169.729	163.0083	155.916	128.2257	159.7892
AT3G62890	18.7055	9.3244	17.5641	1.8891	7.5593	0	3.3896	7.2549	4.2294	7.6937	0	1.5903	1.0438	10.4911	0	0	2.5273	4.26	0	1.0512
AT3G62900	83.3952	62.4014	50.9359	83.1202	80.6326	96.0557	72.8755	76.5061	54.9819	69.2436	104.2298	103.3709	85.5879	95.4695	74.061	152.8764	145.3174	126.096	139.4983	140.8668
AT3G62907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62910	310.1988	254.6265	247.654	355.1497	257.8565	193.5034	257.0416	238.7518	290.9809	251.9697	182.6949	159.0322	139.8632	59.7996	121.1908	83.0588	88.4541	89.46	128.2257	72.5359
AT3G62920	52.9988	55.2289	83.4295	34.0037	72.2334	60.5568	61.0121	60.6773	54.136	51.9327	51.5293	79.5161	66.8003	75.5363	80.7939	103.5226	112.4631	97.128	102.8624	112.4832
AT3G62930	23.3818	22.235	19.3205	45.3383	17.6384	36.1949	28.8113	38.2531	47.369	25.0046	0	9.5419	13.5688	0	5.3863	0	1.2636	1.704	0	5.2562
AT3G62940	205.76	202.984	201.1091	158.6839	180.5835	139.9072	157.6145	166.8624	123.4977	127.9083	115.941	100.1903	103.3318	114.3535	84.8336	128.8014	218.608	137.172	133.862	179.7629
AT3G62950	107.5564	55.2289	95.7244	128.4584	176.3839	194.8956	184.1661	231.4969	245.3037	128.87	114.7699	89.058	97.0693	50.3575	36.3572	36.1125	21.4817	6.816	5.6363	31.5373
AT3G62960	16.3673	15.0624	16.6859	20.78	30.2372	16.7053	11.2985	17.8075	29.6056	19.2343	56.2138	65.2032	110.6381	107.0097	133.3099	31.2975	8.8454	16.188	12.6817	42.0498
AT3G62970	101.3212	104.0024	125.5834	81.2311	78.9528	92.5754	131.6279	130.588	116.7307	135.602	115.941	85.8774	77.2379	107.0097	142.7358	127.5977	83.3996	69.012	97.2261	138.7643
AT3G62980	183.937	159.2312	188.8142	141.6821	186.463	292.3433	233.3147	207.0941	247.8413	232.7354	214.3152	284.6676	218.1449	173.104	231.6091	119.1714	126.363	80.088	101.4533	96.7145
AT3G62988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62990	3.897	3.5863	0.8782	5.6673	2.5198	0	3.3896	2.6381	2.5376	5.7703	0	3.1806	4.175	2.0982	2.6931	281.6778	245.1442	352.728	226.8609	347.9621
AT3G63000	151.2024	109.0232	113.2885	117.1239	114.2296	167.0533	141.2317	152.3527	153.9492	187.5347	190.8928	214.6935	212.9261	243.3947	218.1434	689.7496	620.4423	644.112	566.4477	718.0002
AT3G63010	45.9842	65.9877	19.3205	20.78	43.676	31.3225	20.9023	44.1889	27.9139	27.8898	49.1871	55.6613	75.1504	117.5009	90.2198	302.1416	290.6349	322.908	209.952	278.5799
AT3G63020	0.7794	0	0	0	0	0	1.1299	0	0	0	0	0	0	0	0	0	2.5273	0	0	0
AT3G63030	107.5564	129.8237	90.4552	117.1239	94.9113	93.2714	92.083	95.6326	112.5013	105.7888	181.5238	149.4903	186.8322	239.1982	185.8259	204.6377	187.0172	204.48	211.3611	240.7351
AT3G63040	0	0	0	0	0	0	0	0	0.8459	0	0	0	1.0438	0	2.6931	13.2413	5.0545	2.556	14.0907	9.4612
AT3G63050	0.7794	0	5.2692	13.2237	3.3597	3.4803	2.8246	8.574	3.3835	19.2343	11.7112	14.3129	3.1313	5.2456	4.0397	31.2975	53.0725	45.156	38.045	59.921
AT3G63052	0	5.0208	6.1474	11.3346	0	4.8724	2.8246	3.9572	0	13.464	3.5134	4.771	1.0438	6.2947	0	13.2413	2.5273	4.26	8.4544	4.205
AT3G63060	5.4558	15.0624	0.8782	3.7782	14.2787	13.2251	9.0388	3.9572	9.3046	8.6554	16.3957	9.5419	22.9626	9.442	5.3863	161.3027	154.1628	181.476	163.4526	180.8141
AT3G63070	25.72	19.366	27.2244	24.5582	26.8775	24.3619	14.1232	18.467	16.9175	25.0046	14.0535	39.7581	33.4002	15.7367	17.5053	34.9088	39.1725	23.004	66.2265	36.7936
AT3G63080	215.8921	201.5495	241.5066	171.9076	223.4196	259.6287	241.7886	241.3899	241.0743	220.2331	327.914	332.3773	296.4265	306.3416	383.7709	365.9404	286.844	366.36	290.2692	401.5755
AT3G63088	0	3.5863	0.8782	0	0	0.6961	7.344	4.6167	4.2294	4.8086	1.1711	0	5.2188	0	0	0	0	0	0	0
AT3G63090	40.5285	33.7111	27.2244	20.78	51.2353	28.5383	35.0255	32.3172	10.1505	21.1578	17.5668	33.3968	9.3938	18.8841	4.0397	52.9651	44.227	40.896	26.7724	33.6398
AT3G63095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.1361	4.205
AT3G63110	70.1455	35.1456	50.0577	41.5601	41.1562	67.5174	70.0509	82.4419	67.67	70.2053	40.9892	36.5774	51.144	47.2102	25.5847	3.6113	7.5818	5.112	2.8181	5.2562
AT3G63120	197.1867	211.5911	162.4681	202.1331	202.4215	186.5429	182.4713	154.9908	215.698	160.6066	145.219	125.6354	127.3382	190.9389	195.2518	352.6992	326.0165	274.344	270.5422	312.2197
AT3G63130	145.7467	158.514	163.3463	122.7911	177.2238	116.9373	132.7578	145.0978	123.4977	169.2621	92.5186	109.7322	61.5816	72.3889	74.061	66.2063	74.5542	56.232	85.9535	53.6135
AT3G63140	2884.5372	3035.4353	2504.6429	2707.0723	2626.4406	2794.6631	3282.7886	2576.1452	3183.0264	2607.2131	2167.7455	2294.8347	2071.8545	1370.1442	1718.2162	168.5252	160.481	178.068	226.8609	144.0205
AT3G63150	64.6897	98.9816	94.8462	52.8946	82.3125	103.0162	86.9987	96.2922	64.2865	66.3584	119.4544	97.0096	99.1568	117.5009	103.6855	145.6539	147.8447	165.288	180.3615	185.0191
AT3G63160	10237.3402	10517.1523	10167.8665	9821.4018	9835.5033	6006.2636	8082.4051	7357.1171	8665.9859	6538.7096	5483.19	5338.7112	4787.7061	3528.1737	4445.0091	463.4443	319.6984	488.196	569.2659	341.6546
AT3G63170	251.7443	234.5433	190.5707	296.5878	265.4158	194.1995	262.6909	216.3276	273.2175	290.4383	197.9195	182.887	173.2634	161.5637	200.6381	39.7238	27.7999	21.3	26.7724	46.2548
AT3G63180	31.9552	40.8837	34.25	18.8909	40.3163	35.4988	40.6747	34.2958	38.9102	73.0904	69.0962	38.1677	49.0565	47.2102	37.7038	87.8739	102.354	59.64	59.1811	101.9708
AT3G63190	981.257	1017.0717	883.475	999.3309	945.7538	841.5312	1079.5748	920.0518	1155.4648	1054.0411	559.796	513.674	502.0464	276.9664	433.5937	180.5627	156.6901	146.544	190.225	149.2768
AT3G63200	175.3637	167.1211	156.3206	187.0203	171.3444	93.9675	135.0175	118.0568	152.2574	102.9037	79.6362	66.7935	102.288	54.554	51.1694	0	5.0545	0.852	7.0454	4.205
