ID	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10
AT1G01010	27.2788	22.9523	12.2949	11.3346	27.7175	13.9211	14.6881	20.4456	16.9175	25.0046	19.9091	11.1323	14.6126	25.1788	21.545	4.815	39.1725	32.376	18.318	6.3075
AT1G01020	110.6739	73.1603	83.4295	64.2292	122.6288	116.9373	116.9398	98.9303	84.5875	115.406	78.4651	62.0226	114.8131	94.4203	122.5374	98.7076	94.7722	78.384	115.5441	101.9708
AT1G01030	28.8376	28.6903	16.6859	3.7782	21.838	33.4107	52.5382	26.3814	34.6809	33.6601	21.0802	12.7226	15.6563	18.8841	9.426	13.2413	26.5362	19.596	12.6817	11.5637
AT1G01040	45.9842	64.5532	36.8846	51.0055	47.8756	89.7912	63.8367	60.0177	54.136	27.8898	65.5828	85.8774	73.0629	81.831	87.5267	60.1876	55.5997	56.232	56.363	68.3309
AT1G01050	484.7831	481.28	407.4875	536.5028	435.9203	376.5661	392.0591	350.2133	417.0162	429.8872	363.0476	372.1354	434.2023	391.3199	359.5327	371.9592	353.8164	408.108	329.7233	390.0118
AT1G01060	21.0436	32.2766	19.3205	7.5564	19.3182	27.1462	23.7269	38.2531	32.1432	61.5498	53.8716	39.7581	54.2753	63.996	72.7145	514.0019	377.8253	580.212	481.9033	558.211
AT1G01070	38.1903	38.7319	42.1539	41.5601	41.9962	34.8028	56.4927	44.8484	52.4442	54.8178	67.925	66.7935	101.2443	103.8624	87.5267	160.0989	224.9261	196.812	224.0428	224.9664
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	566.6194	457.6105	522.5324	576.1738	506.4738	451.7401	504.4795	499.9278	589.5746	487.5902	371.2455	319.6547	278.6827	218.2159	232.9556	50.5576	32.8544	29.82	46.4994	33.6398
AT1G01090	999.1831	832.0191	969.5392	970.9945	936.5146	899.9999	972.2387	756.4871	901.7024	879.9705	648.8012	691.7901	614.7719	507.7716	460.525	621.1357	646.9785	584.472	745.4001	604.4658
AT1G01100	3886.0585	3575.5305	3994.9581	4239.1278	3832.5706	2926.9137	3006.5394	3399.2453	3869.8766	3609.3216	1845.6872	1316.7867	1213.8876	1136.1915	1051.6668	1857.3885	1623.7644	2009.868	2103.7474	1658.8644
AT1G01110	14.0291	5.0208	3.5128	9.4455	10.919	9.0487	18.0777	11.2121	15.2257	20.196	4.6845	14.3129	19.8314	4.1965	13.4656	0	1.2636	0	4.2272	0
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	338.257	383.0157	448.7632	338.1479	437.6001	336.1948	444.5972	431.3361	466.0769	306.7875	217.8286	270.3548	178.4822	112.2553	121.1908	87.8739	82.1359	64.752	101.4533	80.9459
AT1G01130	27.2788	32.2766	32.4936	26.4473	52.0753	43.8515	33.3307	23.7433	38.0644	27.8898	17.5668	6.3613	10.4376	38.8173	17.5053	21.6675	12.6363	25.56	22.5452	16.8199
AT1G01140	202.6424	199.3977	195.8399	168.1294	201.5816	233.1786	278.5088	269.0904	230.0779	220.2331	370.0743	451.6515	557.3654	589.6026	689.441	399.6455	483.9703	372.324	436.8129	485.6751
AT1G01150	0	0	0	5.6673	0	0.6961	0	2.6381	1.6917	0	0	0	0	0	0	0	1.2636	0	0	0
AT1G01160	121.5855	124.0856	145.7822	168.1294	135.2277	147.5638	133.8876	143.7787	142.9528	171.1855	129.9945	186.0677	142.9945	202.4792	161.5877	272.0478	295.6894	233.448	307.1781	243.8888
AT1G01170	1042.8292	823.412	982.7123	1033.3346	773.5695	1100.4639	1175.6123	1168.6967	1196.9127	1036.7303	1187.517	1078.2384	1117.8621	1078.4902	1171.511	234.7315	205.9717	205.332	359.3139	192.3778
AT1G01180	64.6897	46.6218	51.8141	85.0092	42.8361	58.4687	83.6091	90.3563	79.5122	86.5545	110.0854	111.3225	110.6381	104.9115	99.6458	63.7988	118.7812	62.196	59.1811	53.6135
AT1G01190	7.0145	10.0416	5.2692	3.7782	5.0395	8.3527	5.0843	13.1907	2.5376	11.5406	0	11.1323	3.1313	1.0491	0	0	0	0.852	0	1.0512
AT1G01200	14.0291	5.7381	5.2692	13.2237	5.0395	3.4803	7.344	7.9144	21.1469	8.6554	2.3422	7.9516	4.175	12.5894	12.1191	0	3.7909	0	0	1.0512
AT1G01210	160.5552	109.0232	165.9809	100.122	126.8284	69.6056	83.6091	68.5917	99.8132	77.899	92.5186	82.6967	69.9316	63.996	65.9817	60.1876	69.4996	68.16	77.4991	108.2782
AT1G01220	39.7491	35.1456	50.9359	56.6728	31.0772	61.2529	50.8434	55.401	40.602	29.8132	57.3849	49.3	22.9626	32.5226	43.0901	16.8525	15.1636	27.264	19.727	40.9985
AT1G01225	40.5285	32.9939	30.7372	24.5582	26.8775	18.7935	23.162	25.7219	42.2937	34.6218	23.4224	14.3129	41.7502	4.1965	21.545	20.4638	10.109	8.52	11.2726	10.5124
AT1G01230	233.8182	241.7159	194.9617	205.9113	225.0995	263.109	283.5932	264.4737	218.2357	229.8502	357.192	291.0289	352.7893	345.1588	352.7999	276.8628	255.2532	299.904	269.1331	276.4774
AT1G01240	141.0703	169.2729	172.1283	173.7967	124.3087	238.7471	226.5356	237.4327	257.9918	199.0753	445.0261	443.6999	494.7401	538.196	511.6945	800.4947	874.4319	673.932	683.4009	819.971
AT1G01250	40.5285	43.0355	46.5449	86.8983	58.7946	36.1949	38.415	34.2958	58.3654	33.6601	85.4919	92.2387	146.1258	173.104	201.9847	386.4042	246.4078	275.196	298.7237	274.3749
AT1G01260	31.1758	53.7943	31.6154	30.2255	69.7136	59.1647	74.5703	53.4224	56.6736	23.0812	58.5561	87.4677	54.2753	50.3575	21.545	67.4101	55.5997	71.568	38.045	36.7936
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	59.2339	37.2974	43.9103	47.2274	56.2749	57.0766	66.0964	42.2103	50.7525	44.239	65.5828	55.6613	55.319	61.8978	68.6748	44.5388	64.4451	92.016	73.2718	64.1259
AT1G01300	469.9746	413.8578	434.7119	462.8281	401.4834	291.6473	278.5088	319.8747	313.8195	317.3664	261.1601	214.6935	179.5259	272.7699	185.8259	37.3163	20.2181	20.448	19.727	5.2562
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0.7173	0	0	0	0	0	3.9572	0	2.8851	0	0	0	7.3438	0	3.6113	1.2636	0.852	0	1.0512
AT1G01320	495.6946	572.3718	591.0325	462.8281	561.0688	474.7099	465.4995	406.9333	376.4142	457.777	372.4166	386.4483	350.7018	307.3907	350.1067	622.3395	764.4961	632.184	673.5374	647.5668
AT1G01340	9.3527	8.6071	2.6346	11.3346	7.5593	6.2645	2.2597	13.8502	0.8459	9.6172	17.5668	15.9032	7.3063	16.7858	8.0794	3.6113	18.9544	11.928	8.4544	8.41
AT1G01350	77.16	71.0085	81.6731	64.2292	76.433	83.5267	75.1352	82.4419	93.0462	90.4013	86.663	69.9742	61.5816	82.8801	103.6855	109.5414	192.0717	155.064	163.4526	120.8932
AT1G01355	0	0	0	0	0.8399	0	0	0	0	0	0	1.5903	0	0	0	0	0	0	2.8181	1.0512
AT1G01360	98.983	92.5263	80.7949	71.7856	94.0714	92.5754	119.7644	88.3777	101.505	101.9419	181.5238	211.5128	308.9516	459.5124	460.525	116.7639	147.8447	120.132	147.9528	130.3544
AT1G01370	49.1018	16.4969	33.3718	41.5601	28.5574	34.8028	26.5516	50.7842	23.6845	62.5116	21.0802	20.6742	4.175	3.1473	5.3863	3.6113	6.3181	7.668	5.6363	5.2562
AT1G01380	26.4994	12.1934	14.0513	11.3346	6.7194	11.1369	14.1232	9.2335	15.2257	14.4257	2.3422	6.3613	10.4376	11.5403	16.1588	1.2038	7.5818	6.816	1.4091	5.2562
AT1G01390	23.3818	22.9523	20.1987	37.7819	32.757	26.4501	45.7591	36.2744	31.2974	16.3492	71.4384	65.2032	80.3692	76.5854	88.8733	14.445	11.3727	5.964	0	9.4612
AT1G01400	0	0	0	0	0	0	0	0	0	0	1.1711	0	0	0	1.3466	0	5.0545	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	65.4691	58.8151	72.0129	37.7819	53.7551	68.2134	86.4338	49.4652	48.2149	53.8561	131.1656	127.2258	125.2507	148.9743	145.429	32.5013	3.7909	43.452	5.6363	21.0249
AT1G01430	291.4934	295.5102	282.7823	249.3605	230.139	380.0463	334.4366	362.7445	418.708	319.2898	275.2135	248.0902	233.8012	184.6442	224.8763	49.3538	66.9724	29.82	61.9993	35.7423
AT1G01440	24.1612	10.7589	27.2244	34.0037	17.6384	25.7541	19.7724	14.5098	14.3799	28.8515	8.1978	20.6742	34.4439	20.9823	22.8916	27.6863	36.6453	23.004	38.045	34.6911
AT1G01450	0	0.7173	0	0	0.8399	0	0	0	0.8459	0	0	0	0	0	0	0	0	1.704	0	0
AT1G01453	0	2.869	7.9039	0	0	0	0.5649	0	0	0	0	0	0	1.0491	0	34.9088	11.3727	20.448	22.5452	28.3836
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2636	0	0	0
AT1G01470	1878.3395	2044.185	2184.976	2565.3902	2100.6485	1112.2968	1504.3996	1350.7284	1518.345	1260.8102	2184.1412	2504.7573	2834.8397	2470.6658	3067.4737	25686.8518	35222.42	27762.4203	27417.7613	27617.254
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	20.2642	55.2289	16.6859	43.4492	56.2749	43.1554	2.8246	23.7433	21.9927	36.5452	21.0802	38.1677	31.3127	8.3929	16.1588	1034.0225	1510.0377	1054.776	1068.0781	1149.0106
AT1G01490	516.7382	484.8663	581.3722	513.8337	536.7111	538.051	460.4152	558.6265	571.8113	547.2166	858.4319	982.819	1070.8931	1192.8437	1116.3019	897.9986	1095.5671	887.784	863.7623	965.0428
AT1G01500	129.3794	156.3622	132.6091	139.793	202.4215	144.0835	138.9719	123.9927	122.6518	171.1855	187.3794	125.6354	142.9945	166.8093	211.4106	305.7529	331.071	394.476	325.4961	305.9123
AT1G01510	84.1746	80.3329	63.2308	113.3457	96.5912	98.8399	90.3883	72.5489	82.0498	73.0904	89.0052	97.0096	59.4941	101.7642	68.6748	34.9088	37.9089	48.564	52.1357	39.9473
AT1G01520	0	0	5.2692	0	3.3597	5.5684	5.0843	0.6595	2.5376	1.9234	5.8556	0	6.2625	4.1965	9.426	44.5388	45.4907	39.192	60.5902	48.3573
AT1G01530	0	0	0	0	0	0.6961	0	0	0	0	0	0	1.0438	0	0	0	0	0	0	0
AT1G01540	233.8182	221.6327	201.1091	262.5841	245.2576	191.4153	249.6976	238.7518	254.6083	215.4245	142.8768	116.0935	165.9571	157.3672	149.4686	178.1552	147.8447	184.032	188.8159	176.6091
AT1G01550	715.4837	714.3888	784.2378	806.6433	812.206	862.4129	889.1945	888.3941	873.7885	831.8847	1152.3834	1245.2222	1190.9249	1489.7433	1477.1811	1942.8548	2150.6981	1899.108	2029.0665	1867.0109
AT1G01560	7.0145	17.2142	7.0256	5.6673	22.6779	18.0974	6.7791	9.893	10.1505	13.464	12.8823	12.7226	14.6126	6.2947	25.5847	28.89	90.9814	97.128	69.0446	71.4847
AT1G01570	6.2352	10.0416	6.1474	13.2237	3.3597	1.3921	5.6493	2.6381	7.6129	0.9617	3.5134	4.771	1.0438	2.0982	0	6.0188	6.3181	6.816	11.2726	14.7174
AT1G01580	3.897	4.3035	14.0513	22.6691	6.7194	11.8329	5.0843	4.6167	13.534	9.6172	25.7647	34.9871	43.8377	35.6699	25.5847	30.0938	39.1725	51.972	21.1361	39.9473
AT1G01590	0	0	0	0	0	0	1.1299	0	0	0.9617	0	1.5903	3.1313	0	0	0	0	0	0	0
AT1G01600	54.5576	30.1248	73.7693	81.2311	98.271	60.5568	60.4471	90.3563	85.4333	50.0093	17.5668	28.6258	12.5251	10.4911	10.7725	2.4075	3.7909	2.556	0	0
AT1G01610	334.36	327.0696	338.9874	338.1479	309.0918	292.3433	368.8971	274.3667	381.4895	304.8641	275.2135	248.0902	217.1011	199.3318	153.5083	69.8176	58.127	70.716	57.772	53.6135
AT1G01620	2063.8353	2010.4738	2002.3092	1947.6563	1894.0273	2571.9254	3254.5422	2694.8615	3226.166	2959.2013	1188.6881	1254.7641	1381.9322	692.4159	729.8379	347.8842	559.788	343.356	328.3142	351.1158
AT1G01630	528.4291	484.8663	450.5196	551.6156	476.2366	491.4152	523.687	478.1631	556.5855	394.3037	502.411	553.4321	394.5396	482.5929	484.7632	209.4527	198.3899	220.668	218.4065	234.4276
AT1G01640	8.5733	10.7589	5.2692	15.1128	12.5989	12.529	6.2142	15.8288	7.6129	28.8515	18.7379	20.6742	19.8314	29.3752	36.3572	37.3163	37.9089	33.228	38.045	31.5373
AT1G01650	104.4388	80.3329	94.8462	88.7874	136.0676	78.6543	90.9532	133.8857	76.1287	89.4396	120.6255	125.6354	187.876	129.0411	189.8656	386.4042	502.9247	469.452	419.904	359.5257
AT1G01660	0	0	0	0	0.8399	4.8724	2.8246	3.2977	0.8459	0	0	4.771	6.2625	1.0491	6.7328	1.2038	0	0.852	0	1.0512
AT1G01670	10.1321	2.869	17.5641	7.5564	6.7194	2.0882	5.0843	9.2335	10.1505	2.8851	4.6845	12.7226	9.3938	7.3438	6.7328	1.2038	0	1.704	12.6817	9.4612
AT1G01680	0.7794	5.0208	0.8782	1.8891	0	3.4803	2.8246	4.6167	1.6917	2.8851	0	3.1806	0	1.0491	0	6.0188	0	6.816	11.2726	7.3587
AT1G01690	27.2788	24.3868	28.9808	52.8946	21.838	20.1856	38.415	25.7219	19.4551	28.8515	21.0802	7.9516	16.7001	15.7367	16.1588	4.815	1.2636	17.892	9.8635	25.2299
AT1G01695	2.3382	0.7173	0	0	0	2.7842	0.5649	3.2977	3.3835	0.9617	1.1711	0	0	0	2.6931	2.4075	0	1.704	0	0
AT1G01700	4.6764	7.8898	2.6346	5.6673	10.0791	4.1763	3.9545	7.2549	10.1505	5.7703	4.6845	0	1.0438	2.0982	0	0	0	0	0	0
AT1G01710	109.8946	133.41	113.2885	198.3549	127.6684	151.0441	122.0241	141.8001	133.6482	134.6403	192.0639	192.429	158.6508	191.988	175.0534	232.324	226.1898	222.372	262.0878	314.3222
AT1G01720	139.5115	168.5556	186.1796	132.2366	175.544	210.2088	135.5824	136.5238	87.971	163.4918	168.6415	157.4419	237.9762	297.9487	282.7785	1290.4215	2337.7153	1510.596	1616.2078	1467.5378
AT1G01725	98.983	79.6156	94.8462	103.9002	100.7908	112.761	120.3294	98.2708	129.4188	140.4106	258.8178	248.0902	307.9079	466.8562	444.3663	268.4366	267.8895	251.34	322.6779	282.7849
AT1G01730	228.3624	150.6242	195.8399	151.1276	187.3029	210.9048	186.9907	207.7536	182.7089	205.8073	312.6894	256.0419	294.339	399.7128	389.1571	388.8117	430.8978	384.252	321.2689	406.8318
AT1G01740	7.0145	1.4345	9.6603	0	5.8795	13.2251	5.6493	3.9572	3.3835	7.6937	8.1978	11.1323	15.6563	14.6876	10.7725	0	2.5273	0.852	2.8181	3.1537
AT1G01750	0	0	5.2692	0	1.6798	0	0	0	0	0	0	1.5903	0	6.2947	1.3466	0	0	4.26	0	0
AT1G01760	6.2352	8.6071	2.6346	1.8891	2.5198	3.4803	2.2597	3.9572	9.3046	9.6172	1.1711	0	4.175	3.1473	0	0	3.7909	2.556	1.4091	0
AT1G01770	60.0133	45.9045	43.9103	52.8946	28.5574	57.7726	66.0964	69.2512	80.3581	76.9373	56.2138	58.8419	57.4065	47.2102	65.9817	72.2251	66.9724	59.64	77.4991	60.9722
AT1G01780	38.9697	50.2081	49.1795	41.5601	23.5179	52.2042	46.8889	57.3796	35.5267	37.5069	45.6737	23.8548	28.1814	20.9823	43.0901	69.8176	54.3361	36.636	46.4994	37.8448
AT1G01790	226.0243	247.454	261.7053	215.3568	230.139	246.4037	282.4633	269.75	293.5185	235.6205	242.4221	236.958	236.9325	191.988	230.2625	45.7426	42.9634	48.564	53.5448	56.7672
AT1G01800	361.6388	301.2483	354.7951	377.8189	383.845	430.1623	351.9493	383.8496	443.2383	332.7539	573.8494	540.7095	526.0527	499.3787	498.2288	701.7871	769.5506	655.188	791.8996	739.0251
AT1G01810	9.3527	7.8898	13.1731	13.2237	10.0791	2.0882	2.8246	5.9358	2.5376	6.732	2.3422	11.1323	3.1313	7.3438	2.6931	24.075	15.1636	15.336	29.5906	17.8712
AT1G01820	375.6679	406.6852	330.2054	328.7024	344.3686	403.7122	358.1635	369.9993	389.1023	388.5334	558.6249	540.7095	623.122	650.4513	585.7555	332.2354	326.0165	333.984	373.4046	349.0133
AT1G01830	43.6461	83.2019	43.9103	47.2274	62.1543	58.4687	63.2718	45.5079	57.5195	62.5116	104.2298	116.0935	140.907	132.1885	180.4396	105.9301	80.8723	109.056	91.5898	108.2782
AT1G01840	34.2933	15.7797	18.4423	7.5564	24.3578	20.1856	19.7724	13.8502	23.6845	19.2343	3.5134	4.771	11.4813	2.0982	4.0397	2.4075	3.7909	6.816	14.0907	13.6662
AT1G01860	70.9249	60.2497	67.6218	34.0037	48.7156	68.9095	79.0897	75.8466	78.6663	63.4733	46.8449	58.8419	53.2315	38.8173	44.4366	44.5388	20.2181	28.968	25.3633	23.1274
AT1G01880	7.0145	3.5863	7.0256	13.2237	6.7194	6.9606	2.2597	9.2335	2.5376	1.9234	1.1711	1.5903	1.0438	5.2456	0	3.6113	2.5273	0	4.2272	5.2562
AT1G01900	29.617	17.9314	43.0321	51.0055	47.0357	29.9304	50.8434	47.4865	58.3654	48.0858	15.2246	17.4935	36.5314	9.442	17.5053	9.63	1.2636	0.852	1.4091	9.4612
AT1G01910	232.2594	271.1235	242.3848	190.7985	267.9356	243.6195	239.5289	240.0709	234.3073	242.3525	229.5398	216.2838	252.5888	178.3495	228.9159	240.7503	255.2532	195.108	160.6344	141.9181
AT1G01920	38.9697	33.7111	35.1282	51.0055	41.1562	41.0673	51.9732	39.5721	43.9855	21.1578	36.3048	20.6742	12.5251	46.1611	8.0794	21.6675	29.0635	26.412	26.7724	32.5886
AT1G01930	42.8667	45.1872	43.9103	37.7819	56.2749	59.8608	48.0188	31.6577	35.5267	50.971	36.3048	38.1677	63.6691	39.8664	28.2779	67.4101	42.9634	67.308	35.2268	59.921
AT1G01940	103.6594	100.4161	100.1155	126.5693	119.2691	76.5661	83.0442	77.8252	83.7416	64.435	79.6362	124.0451	105.4193	90.2239	78.1007	79.4476	108.6722	98.832	83.1354	83.0483
AT1G01950	14.0291	27.9731	28.9808	26.4473	32.757	39.6752	31.6359	39.5721	40.602	26.9281	22.2513	28.6258	29.2252	34.6208	37.7038	7.2225	10.109	13.632	7.0454	14.7174
AT1G01960	88.8509	101.1334	108.0193	52.8946	75.5931	125.9861	86.9987	80.4633	72.7452	114.4442	131.1656	103.3709	61.5816	79.7327	65.9817	45.7426	39.1725	48.564	38.045	44.1523
AT1G01970	113.0121	118.3476	111.5321	105.7893	142.787	130.1624	116.9398	141.1406	114.1931	98.0951	112.4276	81.1064	136.732	48.2593	64.6351	40.9275	13.8999	21.3	45.0904	27.3324
AT1G01980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.556	0	0
AT1G01990	137.1733	142.7343	102.7501	124.6802	106.6703	122.5058	105.6413	125.9713	142.9528	82.7076	114.7699	108.1419	138.8195	150.0234	180.4396	142.0427	122.5721	143.136	119.7713	134.5593
AT1G02000	35.8521	40.8837	50.0577	30.2255	59.6346	33.4107	49.1486	38.9126	63.4406	41.3538	32.7914	27.0355	54.2753	27.277	21.545	134.8202	169.3264	88.608	118.3622	95.6633
AT1G02010	25.72	21.5177	25.468	22.6691	19.3182	16.0093	25.9866	19.1265	21.1469	13.464	44.5026	25.4452	25.0501	17.835	36.3572	19.26	29.0635	26.412	35.2268	24.1786
AT1G02020	29.617	40.1664	50.0577	90.6765	35.2768	54.2923	55.9277	56.0605	68.5158	38.4687	65.5828	76.3355	80.3692	68.1925	95.6061	105.9301	122.5721	113.316	102.8624	139.8156
AT1G02030	0.7794	0	0	0	0.8399	2.7842	0	0	0.8459	4.8086	0	0	5.2188	0	0	8.4263	3.7909	0	0	0
AT1G02040	0	0	0.8782	0	0	0	0	0	0	0	0	0	0	0	2.6931	0	0	0	0	0
AT1G02050	2.3382	10.0416	1.7564	5.6673	3.3597	2.7842	13.5582	11.8716	9.3046	7.6937	10.5401	6.3613	5.2188	13.6385	6.7328	9.63	2.5273	4.26	36.6359	4.205
AT1G02060	0	0	4.391	3.7782	1.6798	3.4803	1.6948	0	0	3.8469	1.1711	0	0	2.0982	2.6931	2.4075	0	0	0	0
AT1G02065	7.0145	5.7381	7.0256	5.6673	12.5989	3.4803	23.7269	27.041	13.534	20.196	18.7379	7.9516	8.35	3.1473	4.0397	1.2038	0	0	11.2726	1.0512
AT1G02070	6.2352	0	0	0	0.8399	0.6961	2.2597	1.3191	0	0	19.9091	6.3613	8.35	20.9823	0	3.6113	3.7909	1.704	4.2272	11.5637
AT1G02074	0	0	0	0	0	0	0	0	1.6917	0	0	0	1.0438	0	0	3.6113	0	0	0	0
AT1G02080	86.5127	117.6303	116.8014	92.5656	115.9094	143.3874	138.407	119.3759	98.1215	103.8654	81.9785	162.2129	129.4257	145.827	91.5664	175.7477	209.7626	129.504	218.4065	167.1479
AT1G02090	168.3491	149.9069	195.8399	179.464	184.7832	125.29	128.8033	154.9908	148.0281	126.9466	97.2031	136.7677	94.9817	107.0097	114.458	176.9515	180.6991	179.772	224.0428	165.0454
AT1G02100	98.2036	98.9816	97.4808	107.6784	103.3106	114.8492	106.7711	133.2261	106.5802	94.2482	186.2083	95.4193	159.6946	157.3672	162.9343	169.729	120.0448	137.172	126.8167	121.9444
AT1G02110	46.7636	44.47	57.9616	43.4492	34.4369	50.8121	49.1486	38.2531	38.9102	38.4687	46.8449	28.6258	49.0565	24.1296	30.971	4.815	8.8454	14.484	16.9089	22.0761
AT1G02120	182.3782	200.8322	171.2501	234.2477	194.0223	252.6682	211.8475	211.0513	232.6155	196.1901	326.7428	260.8128	266.1576	359.8464	352.7999	145.6539	203.4444	172.104	166.2707	240.7351
AT1G02130	286.817	336.3939	338.9874	425.0462	376.2857	316.0092	410.7016	272.3881	364.572	295.2469	274.0424	338.7386	373.6644	454.2668	453.7922	515.2056	490.2884	549.54	491.7668	474.1114
AT1G02140	819.9225	733.7548	771.0647	978.5509	756.771	602.7841	699.9441	705.7028	784.1258	682.8186	582.0473	521.6256	589.7218	649.4022	692.1341	918.4623	1085.4581	985.764	946.8977	837.8422
AT1G02145	56.1164	71.0085	54.4488	51.0055	68.8737	66.1253	67.2263	64.6345	78.6663	61.5498	79.6362	103.3709	50.1003	73.438	55.2091	58.9838	54.3361	68.16	67.6356	63.0747
AT1G02150	582.2073	590.3032	612.1094	544.0592	544.2704	492.1113	488.0966	435.2933	598.8793	499.1308	286.9247	270.3548	220.2324	175.2022	250.461	125.1901	117.5176	132.912	119.7713	106.1757
AT1G02160	318.7721	332.8077	323.1797	247.4714	276.3348	283.2946	347.9948	334.3844	372.1849	305.8258	377.1011	354.6418	412.2834	381.8779	364.919	202.2302	144.0538	146.544	129.6348	155.5842
AT1G02170	113.7915	142.0171	104.5065	66.1183	108.3501	153.1322	151.9653	147.0764	139.5693	119.2528	145.219	139.9483	130.4694	136.3849	145.429	193.804	245.1442	249.636	228.27	217.6077
AT1G02180	60.7927	39.4492	35.1282	52.8946	55.4349	54.9884	63.8367	51.4438	84.5875	50.971	35.1336	27.0355	50.1003	19.9332	25.5847	0	10.109	0.852	32.4087	10.5124
AT1G02190	1.5588	6.4553	7.9039	1.8891	1.6798	5.5684	11.2985	11.8716	4.2294	0.9617	9.369	1.5903	3.1313	2.0982	0	2.4075	0	0	0	2.1025
AT1G02205	523.7528	507.1013	514.6286	715.9668	698.8163	188.6311	411.2666	316.577	370.4931	355.8351	196.7484	168.5741	148.2133	91.273	88.8733	256.3991	114.9903	133.764	379.0409	259.6575
AT1G02210	0	0.7173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	17.1467	45.9045	17.5641	15.1128	25.1977	57.7726	16.9478	43.5293	18.6092	58.6647	53.8716	44.529	16.7001	12.5894	5.3863	96.3001	222.3989	188.292	229.6791	153.4818
AT1G02230	0	7.1726	2.6346	3.7782	1.6798	8.3527	2.8246	10.5526	0	2.8851	8.1978	9.5419	5.2188	3.1473	8.0794	0	12.6363	0.852	0	0
AT1G02250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02260	45.2049	45.1872	46.5449	58.5619	32.757	46.6357	48.5837	45.5079	46.5231	42.3155	55.0427	62.0226	64.7128	58.7504	87.5267	28.89	36.6453	65.604	46.4994	42.0498
AT1G02270	142.6291	121.2166	124.7052	92.5656	115.0695	141.9953	149.7056	151.0336	128.5729	137.5254	139.3634	181.2967	201.4448	207.7248	179.0931	187.7852	181.9627	224.076	239.5426	201.839
AT1G02280	558.0461	553.7231	527.8017	451.4936	506.4738	477.4941	471.1488	516.4162	532.901	561.6424	186.2083	198.7903	194.1385	139.5323	136.003	125.1901	193.3354	131.208	167.6798	96.7145
AT1G02290	42.0873	32.9939	32.4936	71.7856	34.4369	40.3712	29.9411	44.8484	29.6056	25.9663	55.0427	62.0226	48.0127	45.1119	53.8626	6.0188	2.5273	11.076	11.2726	11.5637
AT1G02300	145.7467	114.044	110.6539	98.2329	141.1071	142.6914	161.0041	145.0978	168.3291	150.0278	208.4596	208.3322	199.3573	244.4438	241.035	44.5388	56.8633	61.344	23.9543	48.3573
AT1G02305	440.3576	580.9789	555.9043	606.3993	502.2742	565.8932	586.9588	637.7707	590.4205	544.3315	936.897	1016.2158	1276.5129	1382.7335	1291.3553	2341.2965	2203.7706	2225.424	2153.065	2242.3053
AT1G02310	18.7055	12.1934	11.4167	15.1128	15.9585	36.8909	22.0321	16.4884	10.9964	11.5406	10.5401	20.6742	10.4376	22.0314	21.545	920.8698	1415.2655	997.692	1049.7601	1001.8364
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02330	141.0703	171.4246	133.4873	113.3457	152.8661	109.2807	127.6734	137.1834	171.7126	148.1043	86.663	125.6354	106.4631	100.715	161.5877	191.3965	200.9172	178.92	191.6341	217.6077
AT1G02335	250.1855	204.4185	331.9618	266.3623	199.0619	150.348	218.6266	158.948	197.9347	179.841	89.0052	89.058	130.4694	97.5677	64.6351	220.2865	238.8261	120.132	115.5441	179.7629
AT1G02340	48.3224	25.8213	46.5449	32.1146	35.2768	32.7146	64.4016	27.7005	75.2828	46.1624	65.5828	68.3838	94.9817	108.0588	169.6671	52.9651	48.0179	11.076	14.0907	19.9737
AT1G02350	25.72	19.366	8.7821	30.2255	10.0791	14.6172	30.506	15.8288	32.9891	16.3492	24.5935	20.6742	8.35	10.4911	16.1588	6.0188	2.5273	0	9.8635	4.205
AT1G02360	22.6024	31.5593	39.5193	35.8928	15.1186	67.5174	36.1553	52.1033	50.7525	42.3155	25.7647	42.9387	28.1814	31.4734	29.6244	1.2038	0	1.704	1.4091	0
AT1G02370	38.9697	32.2766	62.3526	79.342	37.7966	32.7146	24.2918	30.3386	31.2974	27.8898	15.2246	28.6258	33.4002	15.7367	39.0504	10.8338	7.5818	4.26	2.8181	18.9224
