ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G78240	223.038	245.817	172.047	185.352	201.363	195.154	162.251	164.027	195.901	116.514	136.827	137.648	114.952	88.19	94.715
AT1G78260	59.706	39.831	27.831	71.855	37.755	56.352	31.745	49.921	61.808	51.879	57.296	61.177	61.44	42.06	34.442
AT1G78270	60.392	124.047	77.59	44.909	46.745	49.233	45.853	11.589	75.427	22.112	23.945	22.941	14.865	31.206	7.654
AT1G78280	114.607	110.39	128.192	117.58	109.671	122.194	141.087	107.866	87.998	104.607	131.696	86.413	208.103	153.315	147.334
AT1G78290	88.529	59.178	76.746	152.691	177.99	155.412	48.205	62.402	63.904	69.738	100.91	96.354	30.72	39.346	22.004
AT1G78300	1728.718	1639.919	1675.77	1534.258	1434.709	1881.549	1179.256	1229.313	1330.452	1167.692	1222.04	1267.13	1385.373	1212.953	1246.598
AT1G78310	71.372	56.902	31.205	48.992	25.17	34.404	29.393	32.984	29.333	29.766	37.628	45.118	97.115	107.185	116.719
AT1G78320	13.725	13.657	12.651	13.064	17.979	15.423	4.703	0	5.238	14.458	11.117	9.941	8.919	2.714	1.913
AT1G78340	13.039	0	6.747	9.798	19.777	1.186	0	0	1.048	0	0	0	0.991	0	2.87
AT1G78360	0	0	3.373	0	0	0	0	0	0	0	1.71	0	0	0	0
AT1G78370	5123.704	6005.449	5152.128	6222.768	6324.943	5363.483	5070.92	3424.96	3757.74	5011.804	5291.802	5187.817	373.595	252.359	214.304
AT1G78380	7360.264	5413.667	3899.728	4711.373	5305.545	4051.381	5482.425	4900.313	4451.251	4862.122	4581.154	4930.108	11433.786	14455.038	10799.384
AT1G78390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78410	315.685	160.464	166.987	89.818	46.745	52.199	68.192	46.356	36.666	6.804	4.276	22.941	5.946	13.568	3.827
AT1G78420	222.352	149.084	129.035	154.324	160.011	188.036	159.899	181.856	143.521	180.299	185.572	173.59	414.225	628.185	533.846
AT1G78430	39.117	51.212	40.482	48.992	35.958	55.165	38.799	63.293	49.237	52.729	82.952	54.295	6.937	2.714	9.567
