ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G01010	68.627	25.037	29.518	32.661	41.351	21.354	28.217	54.379	18.857	15.308	36.772	35.177	26.756	48.844	12.437
AT1G01020	182.548	153.636	175.42	222.912	230.129	148.887	130.506	149.764	214.758	191.355	141.958	180.472	185.311	317.484	234.395
AT1G01030	19.216	33.003	25.301	30.212	50.341	16.609	21.163	17.829	23.047	16.159	19.669	16.824	27.747	28.492	23.918
AT1G01040	44.608	70.559	67.469	91.451	57.532	69.401	45.853	63.293	85.903	56.131	61.572	82.589	55.494	88.19	107.152
AT1G01050	506.468	592.92	556.622	580.552	643.641	523.18	506.739	528.631	496.562	618.29	566.124	596.477	449.899	499.292	461.136
AT1G01060	146.176	166.154	117.228	220.463	242.714	216.509	45.853	57.053	49.237	82.495	95.779	133.06	353.775	662.104	438.175
AT1G01070	61.764	37.555	74.216	87.369	75.511	94.315	64.665	61.51	96.379	69.738	89.793	68.06	128.826	92.26	127.243
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	525.684	617.957	597.947	656.489	640.045	558.177	584.337	508.128	610.751	473.71	374.565	430.534	55.494	42.06	36.355
AT1G01090	1065.094	1082.278	1319.869	1170.086	1026.59	1087.289	934.705	1062.611	992.077	905.748	1045.875	770.831	889.889	951.096	901.224
AT1G01100	2477.441	2683.504	2557.088	2082.149	2256.34	1755.203	2170.396	1849.763	1945.393	1776.626	1757.378	2052.491	1609.332	1970.031	1968.917
AT1G01110	21.961	33.003	16.867	35.927	12.585	33.218	37.623	48.138	14.666	22.963	27.365	19.118	5.946	12.211	13.394
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	570.978	466.597	290.118	520.129	456.662	402.765	209.28	225.537	254.567	287.458	253.131	264.591	272.516	147.888	150.204
AT1G01130	63.823	34.141	22.771	40.01	17.979	27.286	38.799	15.155	15.714	28.916	35.062	62.707	9.91	16.281	12.437
AT1G01140	516.076	530.328	515.297	536.46	508.8	557.584	459.71	458.206	397.04	397.168	436.993	478.711	416.206	397.534	567.331
AT1G01150	0	2.276	5.904	1.633	0	0	8.23	0	1.048	0	5.986	0	0	0	0.957
AT1G01160	150.98	134.289	172.047	163.306	172.597	184.477	166.954	163.136	141.426	174.346	122.29	144.531	284.408	408.388	337.72
AT1G01170	600.488	655.512	715.175	640.159	684.992	595.547	743.061	643.629	677.797	630.196	554.151	572.77	391.432	321.555	333.893
AT1G01180	94.705	154.774	115.541	94.717	79.107	88.383	69.368	67.75	49.237	59.533	44.469	81.824	49.548	61.055	61.23
AT1G01190	6.176	10.242	4.217	4.083	3.596	9.491	1.176	0	8.381	1.701	0	3.059	0	0	0
AT1G01200	3.431	2.276	3.373	10.615	3.596	8.304	15.284	7.132	7.333	7.654	27.365	21.412	2.973	1.357	0
AT1G01210	45.294	94.458	50.602	53.074	62.926	58.131	64.665	57.944	81.713	63.785	66.703	49.706	78.286	78.693	101.412
AT1G01220	77.549	52.35	55.662	58.79	30.564	76.519	63.489	72.208	109.998	61.234	49.6	72.648	52.521	43.417	44.009
AT1G01225	46.666	23.899	39.638	33.478	55.734	45.674	21.163	24.069	40.856	35.72	36.772	35.177	37.657	23.065	15.307
AT1G01230	327.352	423.352	354.214	287.418	305.64	324.466	450.304	324.489	371.898	393.766	315.558	366.298	378.55	370.398	374.075
AT1G01240	391.175	490.496	502.647	408.265	436.885	589.022	583.162	704.247	632.75	637	543.889	571.241	1603.386	1495.162	1761.31
AT1G01250	36.372	40.97	21.084	55.524	77.309	138.803	136.385	112.323	79.618	206.664	312.993	199.59	329.001	290.349	303.278
AT1G01260	104.313	94.458	91.084	79.203	64.724	67.622	44.678	90.037	106.855	62.084	55.586	89.471	52.521	70.552	49.749
AT1G01280	0	0	0	8.165	17.979	23.727	9.406	13.372	16.762	39.121	6.841	23.706	6.937	59.698	14.351
AT1G01290	62.451	46.66	61.566	73.488	109.671	43.302	47.029	57.944	90.094	102.056	102.621	83.354	134.772	77.336	88.018
AT1G01300	426.861	424.49	356.744	310.281	339.799	304.298	318.623	389.565	370.85	305.318	363.448	398.416	112.97	66.482	46.879
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.784
AT1G01310	1.373	2.276	0	0	0	0	1.176	0	0	0	0.855	0	2.973	6.784	41.139
AT1G01320	424.116	438.146	444.454	639.342	568.13	566.482	402.099	566.072	515.419	491.57	484.027	583.476	737.28	887.328	805.553
AT1G01340	48.725	42.108	18.554	11.431	5.394	10.084	4.703	12.48	9.428	1.701	2.566	9.941	2.973	17.638	9.567
AT1G01350	142.058	112.666	165.3	112.681	84.5	94.908	97.586	103.408	128.855	118.215	104.331	169.766	189.275	248.289	226.741
AT1G01355	0	0	0	0	0	1.186	0	0	0	0	0	0	0.991	0	0.957
AT1G01360	115.294	125.185	204.938	127.379	258.895	224.22	244.552	225.537	206.377	261.093	241.158	250.826	277.471	268.641	218.131
AT1G01370	26.765	29.589	45.542	35.927	25.17	62.876	28.217	21.395	43.999	52.729	29.076	29.059	6.937	6.784	7.654
AT1G01380	6.863	7.966	4.217	4.083	10.787	10.084	8.23	16.938	8.381	11.056	15.393	2.294	0	0	4.784
AT1G01390	21.961	14.795	31.205	58.79	55.734	57.538	14.109	31.201	32.476	41.673	32.497	32.883	9.91	1.357	1.913
AT1G01400	0	0	0	0	0	0	0	0	2.095	0	0	0	0	0	0.957
AT1G01410	2.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	37.745	37.555	63.253	57.974	71.915	40.929	56.435	49.921	56.57	101.206	77.821	93.295	8.919	5.427	4.784
AT1G01430	301.273	319.79	371.925	352.741	246.31	350.566	300.987	310.225	299.614	178.598	200.965	199.59	84.232	67.839	93.758
AT1G01440	45.294	37.555	64.096	33.478	12.585	29.066	18.812	23.178	38.761	28.065	30.786	39	48.557	56.984	43.052
AT1G01450	1.373	1.138	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	1.138	0	0	0	0	3.527	1.783	0	0	5.131	0	2.973	14.924	6.697
AT1G01460	0.686	0	0.843	0	0	0	0	0	0	0	0.855	0	0	4.07	12.437
AT1G01470	714.409	685.101	688.187	777.336	960.068	875.525	2369.094	2102.044	2086.819	3287.056	3234.259	2138.904	24845.543	29569.466	26838.688
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	74.117	33.003	9.277	13.881	7.192	15.423	9.406	25.852	2.095	11.907	22.234	55.059	882.952	1170.893	1184.412
AT1G01490	1085.682	1066.346	1047.462	1060.671	927.706	949.079	694.856	715.836	752.177	646.355	695.254	635.477	999.886	1051.497	1111.701
AT1G01500	177.744	186.639	227.709	158.407	163.607	208.204	206.928	238.018	197.996	205.813	194.124	196.531	431.071	481.654	514.712
AT1G01510	125.588	143.393	180.481	143.709	136.639	178.545	136.385	144.415	156.092	176.897	131.696	149.119	173.419	168.24	149.247
AT1G01520	0	3.414	1.687	3.266	3.596	5.932	1.176	0	1.048	10.206	3.421	9.177	56.485	27.135	38.269
AT1G01530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540	383.626	342.551	330.6	368.255	339.799	332.771	300.987	215.731	273.424	256.841	251.42	253.12	256.661	317.484	248.746
AT1G01550	1759.601	1921.015	1993.719	1490.165	1551.571	1497.765	1549.611	1603.723	1666.731	1533.393	1333.212	1430.014	2634.983	2626.709	2336.295
AT1G01560	226.47	119.494	118.071	73.488	39.553	34.997	45.853	86.471	36.666	25.514	22.234	46.648	80.268	80.049	48.792
AT1G01570	8.922	4.552	17.711	7.349	8.989	4.745	18.812	5.349	5.238	7.654	15.393	6.882	18.828	8.141	6.697
AT1G01580	15.784	23.899	16.024	31.028	28.766	21.947	37.623	23.178	5.238	68.037	65.848	36.706	51.53	25.779	61.23
AT1G01590	0	0	0	0	1.798	0.593	0	0	1.048	0	1.71	0	0	0	0
AT1G01600	85.098	60.316	60.722	129.012	100.681	133.464	122.276	130.152	82.76	60.383	231.751	127.707	39.639	1.357	13.394
AT1G01610	236.764	267.44	310.359	277.62	298.448	223.627	255.133	272.784	236.758	296.813	352.331	321.944	164.501	92.26	108.109
AT1G01620	3003.811	3572.315	3845.753	2821.108	3011.45	3137.892	2069.283	2272.312	2520.525	1655.86	1808.688	1703.017	720.434	645.823	1049.515
AT1G01630	480.39	439.284	524.574	546.258	460.257	540.382	412.681	443.052	522.752	399.72	445.544	448.122	259.634	170.953	258.313
AT1G01640	35	15.933	20.241	6.532	23.372	13.643	36.448	35.658	26.19	39.121	17.959	19.118	38.648	59.698	68.883
AT1G01650	207.94	165.016	157.71	191.068	104.277	179.139	185.765	192.554	130.95	211.766	218.069	225.59	668.903	605.12	667.786
AT1G01660	2.059	0	1.687	5.716	0	1.78	0	2.674	1.048	0	4.276	0.765	2.973	10.854	3.827
AT1G01670	0.686	7.966	5.904	8.982	0	10.677	14.109	11.589	8.381	6.804	19.669	13.765	7.928	12.211	11.481
AT1G01680	16.471	12.518	2.53	13.064	0	0.593	0	10.697	5.238	0	6.841	12.235	0.991	18.995	2.87
AT1G01690	24.02	12.518	12.651	32.661	17.979	43.895	45.853	30.309	43.999	32.318	12.828	29.824	24.774	2.714	2.87
AT1G01695	0	0	0	2.45	16.181	2.966	0	0	2.095	0	0	0.765	0	0	0
AT1G01700	5.49	0	6.747	4.083	0	7.118	9.406	8.023	16.762	5.953	2.566	2.294	13.874	2.714	6.697
AT1G01710	177.744	150.222	187.227	174.737	133.043	216.509	139.912	165.81	163.426	206.664	216.358	234.002	279.453	233.365	292.754
AT1G01720	248.43	195.743	183.011	155.957	174.394	158.378	171.656	219.297	153.997	299.365	298.455	279.12	1865.001	2249.526	2354.472
AT1G01725	67.941	79.663	79.276	77.57	120.458	94.315	134.033	87.362	113.141	143.729	96.634	98.648	131.799	103.115	149.247
AT1G01730	244.999	241.265	257.227	187.802	203.16	206.425	276.296	279.025	257.71	234.729	230.041	305.121	468.728	434.167	478.357
AT1G01740	6.176	0	5.904	8.165	7.192	7.118	1.176	0	8.381	12.757	14.538	6.118	1.982	1.357	1.913
AT1G01750	0	0	0	0	0	1.78	0	0	0	0	1.71	0	5.946	0	0
AT1G01760	0	0	4.217	2.45	0	3.559	0	0.891	3.143	0.85	0.855	3.824	1.982	0	0
AT1G01770	102.941	114.942	109.638	70.221	113.266	104.399	72.895	86.471	112.093	54.43	87.227	127.707	191.257	139.747	196.126
AT1G01780	32.255	33.003	47.229	47.359	71.915	52.199	64.665	47.247	64.951	58.682	47.034	42.059	114.952	77.336	92.801
AT1G01790	335.587	343.689	266.504	440.109	415.31	387.936	319.798	316.466	332.089	304.467	253.131	276.062	111.979	118.039	78.451
AT1G01800	725.389	669.169	639.272	785.501	711.961	666.135	725.425	624.908	561.513	681.224	830.372	649.242	889.889	1127.477	992.112
AT1G01810	3.431	2.276	0	4.899	0	4.152	0	7.132	9.428	3.402	5.131	7.647	14.865	6.784	21.048
AT1G01820	464.606	503.015	396.382	391.934	399.129	337.516	538.484	579.444	615.989	482.215	530.206	487.123	586.653	723.159	533.846
AT1G01830	80.98	69.421	78.433	79.203	109.671	96.687	77.598	121.238	104.76	145.43	159.062	149.119	151.618	111.255	152.117
AT1G01840	4.804	6.828	15.181	25.312	32.362	7.118	14.109	19.612	5.238	11.907	29.931	4.588	13.874	8.141	9.567
AT1G01860	72.745	89.905	87.71	71.855	95.288	82.451	88.18	73.099	81.713	63.785	52.165	79.53	44.594	52.914	34.442
AT1G01880	4.118	9.104	9.277	8.165	19.777	10.677	10.582	5.349	5.238	2.551	18.814	6.882	4.955	10.854	1.913
AT1G01900	79.608	85.353	60.722	103.699	84.5	89.569	109.343	72.208	99.522	111.411	152.221	108.589	62.431	20.352	36.355
AT1G01910	321.861	383.52	332.287	366.622	382.949	319.128	268.066	254.955	290.185	284.907	360.027	282.944	325.037	364.971	322.413
AT1G01920	52.157	40.97	64.096	33.478	16.181	59.911	34.096	42.79	52.38	75.692	56.441	32.883	53.512	24.422	47.836
AT1G01930	64.51	96.734	86.867	73.488	48.543	61.097	84.652	62.402	62.856	72.29	48.745	32.118	100.088	107.185	89.931
AT1G01940	73.431	111.528	77.59	109.415	84.5	81.858	94.058	69.533	75.427	62.935	64.993	105.53	135.763	161.456	159.771
AT1G01950	71.372	51.212	69.999	64.506	53.936	57.538	42.326	55.27	24.095	42.523	42.759	60.412	38.648	13.568	40.182
AT1G01960	191.47	219.642	144.216	175.554	172.597	175.58	110.519	208.6	164.473	147.131	116.303	165.943	98.106	82.763	70.797
AT1G01970	95.392	193.467	206.625	111.864	120.458	158.378	186.941	192.554	152.95	115.664	118.869	150.649	92.16	74.622	99.498
AT1G01980	0	0	0	0	0	0	0	0	0	0	0	0	11.892	24.422	54.533
AT1G01990	144.117	179.811	123.132	102.883	116.862	121.601	130.506	159.57	140.378	191.355	134.262	165.178	188.284	179.094	159.771
AT1G02000	86.47	36.417	48.915	35.111	55.734	63.47	57.611	36.55	49.237	49.327	51.31	32.118	137.745	135.677	196.126
AT1G02010	17.157	19.347	8.434	17.147	26.968	24.913	27.042	19.612	28.285	35.72	13.683	18.353	29.729	27.135	18.178
AT1G02020	35	62.592	60.722	89.002	98.883	89.569	89.355	73.991	71.237	100.355	65.848	90.236	178.374	164.169	150.204
AT1G02030	0	1.138	0	0	0	4.152	0	0.891	4.19	2.551	2.566	0	3.964	9.497	0.957
AT1G02040	0	4.552	0	0	0	1.186	2.351	0	0	0	8.552	0	0.991	1.357	0
AT1G02050	6.176	4.552	7.59	48.992	25.17	59.911	32.92	42.79	27.238	45.925	53.876	22.177	73.332	165.526	104.282
AT1G02060	0	3.414	0.843	1.633	3.596	4.745	0	0	0	0	0	0	0	0	0
AT1G02065	38.431	11.38	16.867	46.542	34.16	45.674	27.042	49.03	48.19	76.542	36.772	35.942	21.801	20.352	51.663
AT1G02070	2.745	0	9.277	1.633	25.17	0.593	3.527	9.806	18.857	3.402	39.338	11.471	29.729	6.784	36.355
AT1G02074	0.686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02080	114.607	103.562	115.541	154.324	165.405	166.682	132.857	205.034	149.807	180.299	171.034	162.119	234.859	241.505	276.49
AT1G02090	160.588	196.881	189.758	186.169	143.83	129.312	181.062	137.284	153.997	211.766	173.6	190.414	206.121	232.008	156.901
AT1G02100	127.647	193.467	150.119	113.498	118.66	171.427	119.924	157.787	178.092	159.037	135.117	143.001	206.121	184.521	213.347
AT1G02110	78.235	108.114	86.867	80.02	55.734	64.063	57.611	77.556	63.904	73.14	73.545	81.06	57.476	16.281	26.788
AT1G02120	261.47	285.649	241.203	320.896	312.831	317.348	343.313	381.542	339.422	292.561	245.434	329.592	216.031	255.073	194.213
AT1G02130	452.253	360.759	378.672	432.76	377.555	596.14	445.601	448.4	438.944	535.794	474.62	424.416	621.337	727.229	681.18
AT1G02140	903.134	892.225	911.68	799.382	728.142	758.077	919.42	919.087	886.269	890.439	923.585	921.48	1229.791	1373.052	1351.836
AT1G02145	89.902	79.663	77.59	94.717	75.511	89.569	65.841	91.82	57.618	89.299	72.69	89.471	48.557	51.557	68.883
AT1G02150	492.743	663.479	606.381	559.322	492.619	501.826	611.379	452.858	545.799	332.533	326.676	448.887	226.932	204.872	149.247
AT1G02160	120.784	159.326	180.481	147.792	131.245	144.141	216.334	176.508	172.854	149.682	151.365	191.178	137.745	149.245	98.542
AT1G02170	392.547	306.133	256.384	240.06	197.767	186.85	202.225	215.731	142.474	195.607	154.786	217.179	253.688	263.214	236.308
AT1G02180	56.961	53.488	75.06	78.387	57.532	45.674	56.435	58.836	45.047	52.729	77.821	64.236	20.81	10.854	27.745
AT1G02190	26.078	17.071	7.59	16.331	14.383	36.777	23.515	39.224	57.618	51.028	114.593	66.53	60.449	37.99	58.36
AT1G02205	621.076	578.126	597.947	802.648	789.27	894.507	1435.565	1127.687	1103.123	1889.738	2404.742	1670.134	1903.649	1174.964	1800.535
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	41.176	23.899	30.361	22.863	28.766	21.947	5.879	48.138	12.571	12.757	16.248	73.413	120.898	188.591	165.511
AT1G02230	8.235	13.657	5.904	1.633	5.394	4.152	7.054	7.132	13.619	8.505	0	13	0	0	0
AT1G02250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02260	44.608	66.006	66.626	52.258	55.734	59.911	71.719	50.813	99.522	68.888	83.807	77.236	92.16	82.763	39.225
AT1G02270	159.901	145.669	127.348	171.471	163.607	172.021	161.075	170.267	149.807	183.701	187.283	178.178	213.058	305.273	255.443
AT1G02280	552.449	653.236	832.403	538.093	550.151	551.059	558.471	547.352	545.799	420.131	377.131	438.181	324.046	359.544	315.716
AT1G02290	44.608	52.35	56.506	65.322	80.905	49.233	76.422	57.944	76.475	64.636	64.138	57.354	43.603	8.141	16.264
AT1G02300	75.49	89.905	104.577	104.516	93.49	201.679	157.548	117.672	162.378	195.607	182.152	168.237	60.449	58.341	52.619
AT1G02305	759.703	1001.477	869.511	1080.268	1272.899	1000.685	1250.976	1301.52	1240.358	1450.897	1604.302	1511.839	2681.559	2691.834	3192.553
AT1G02310	27.451	1.138	9.277	1.633	7.192	5.339	5.879	16.938	2.095	15.308	3.421	13	619.355	925.318	815.12
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02330	191.47	234.437	224.336	158.407	140.235	180.918	146.966	180.073	197.996	187.103	229.186	208.767	287.381	298.49	284.144
AT1G02335	105.686	171.844	134.095	159.223	127.65	148.887	177.535	148.873	181.235	176.047	149.655	150.649	277.471	272.711	360.681
AT1G02340	31.568	58.04	61.566	112.681	64.724	113.889	43.502	93.602	64.951	63.785	77.821	63.471	35.675	63.768	73.667
AT1G02350	2.059	6.828	2.53	31.028	21.575	4.745	4.703	6.24	5.238	2.551	3.421	13	11.892	0	0
AT1G02360	275.881	244.679	291.805	88.185	88.096	84.231	25.866	47.247	40.856	1.701	5.986	39	5.946	5.427	1.913
AT1G02370	48.039	48.936	37.952	33.478	10.787	33.218	59.962	53.487	40.856	48.477	60.717	54.295	14.865	6.784	21.048
AT1G02380	55.588	22.761	16.867	37.56	46.745	56.352	11.757	19.612	17.809	9.355	20.524	38.236	42.612	29.849	68.883
AT1G02390	36.372	22.761	15.181	75.121	50.341	45.674	65.841	23.178	53.428	66.336	56.441	86.413	418.188	586.125	596.033
AT1G02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400	113.921	63.73	45.542	22.046	1.798	11.863	1.176	14.263	10.476	22.112	16.248	13	243.778	303.917	300.408
AT1G02405	10.294	7.966	0.843	4.083	1.798	4.152	12.933	0	1.048	0.85	0	4.588	3.964	4.07	12.437
AT1G02410	253.234	210.538	252.167	203.316	224.735	182.105	246.903	227.32	206.377	282.355	185.572	282.944	222.968	246.932	295.625
AT1G02420	0.686	0	0.843	1.633	0	1.78	1.176	0.891	0	2.551	0	0	0	2.714	0
AT1G02430	3.431	0	0	0	0	0	1.176	0	0	0	0.855	0	0	0	1.913
AT1G02440	0	0	1.687	0	0	0	0	0.891	1.048	0	0	0.765	0	0	0
AT1G02450	23.333	55.764	38.795	38.377	44.947	18.982	69.368	128.369	49.237	37.421	82.096	148.354	10.901	5.427	3.827
AT1G02460	6.863	4.552	8.434	29.395	17.979	4.745	23.515	20.503	23.047	22.112	20.524	18.353	0.991	1.357	0
AT1G02470	18.529	25.037	10.12	25.312	25.17	26.693	15.284	153.33	38.761	48.477	76.965	105.53	463.773	377.182	577.855
AT1G02475	459.116	413.109	446.984	590.35	555.545	639.442	601.973	528.631	514.371	675.271	677.296	582.712	735.298	558.99	692.661
AT1G02490	0	0	0	0	0	0	0	2.674	0	0	0	0	0	0	0
AT1G02500	1489.209	1534.081	1532.398	1820.86	1832.04	1748.678	1803.569	1983.481	1787.205	1871.028	2238.839	2037.962	2127.608	1880.485	1831.15
AT1G02510	0	3.414	0	0	0	4.745	1.176	1.783	0	0	1.71	4.588	0	0	3.827
AT1G02520	5.49	2.276	1.687	1.633	0	3.559	4.703	0.891	4.19	1.701	0.855	0	1.982	0	0.957
AT1G02530	2.059	2.276	0	0	0	0	0	0	0	0.85	0.855	0	1.982	0	1.913
AT1G02540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02560	2421.166	2516.212	2533.474	2249.538	2346.234	2164.493	2439.638	2307.97	2203.102	2448.495	2068.66	2085.374	2067.159	1841.138	2103.813
AT1G02570	0	0	0	0	0	0	0	0	0	0	0	0	0	1.357	0
AT1G02575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02580	2.059	2.276	0	0	1.798	1.186	0	8.023	0	0	0	0	0.991	0	4.784
AT1G02590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610	371.273	348.241	414.936	341.309	442.279	393.868	118.749	163.136	142.474	91	82.952	106.295	312.155	298.49	467.833
AT1G02620	0	4.552	3.373	0	7.192	1.186	3.527	0	4.19	5.103	0	0	0	0	0
AT1G02630	15.098	7.966	38.795	24.496	1.798	17.795	10.582	17.829	2.095	4.252	14.538	1.529	22.792	4.07	3.827
AT1G02640	349.312	314.1	440.238	124.929	176.192	156.598	61.138	71.316	84.856	52.729	36.772	32.118	18.828	35.276	26.788
AT1G02650	4.118	17.071	15.181	4.083	7.192	3.559	0	3.566	4.19	0	4.276	4.588	2.973	0	0
AT1G02660	417.939	292.477	324.696	218.83	179.788	253.285	92.883	126.586	80.665	45.925	108.607	68.06	1025.652	937.529	1280.083
AT1G02670	0.686	2.276	2.53	5.716	1.798	2.373	4.703	3.566	3.143	0.85	5.986	3.824	5.946	2.714	8.61
AT1G02680	90.588	92.181	105.421	96.35	53.936	93.128	90.531	121.238	102.665	136.075	114.593	120.825	120.898	138.391	149.247
AT1G02690	64.51	86.491	59.879	62.056	57.532	90.756	48.205	51.704	55.523	63.785	83.807	97.883	30.72	39.346	17.221
AT1G02700	0.686	1.138	0	0.817	0	2.966	0	0.891	2.095	1.701	6.841	7.647	178.374	113.969	185.602
AT1G02710	0.686	0	0	0	1.798	1.78	0	0	1.048	0	2.566	0	0	0	0
AT1G02720	67.255	78.525	79.276	61.24	59.33	91.942	79.95	41.007	61.808	60.383	46.179	60.412	43.603	23.065	49.749
AT1G02730	133.137	124.047	128.192	122.479	118.66	132.278	88.18	121.238	93.236	119.916	77.821	110.119	7.928	1.357	8.61
AT1G02740	73.431	64.868	71.686	63.689	102.479	51.606	70.544	102.517	67.046	80.794	69.269	84.883	128.826	97.688	144.464
AT1G02750	86.47	136.565	122.288	97.983	136.639	123.973	135.209	98.06	117.331	151.383	104.331	127.707	281.435	248.289	216.217
AT1G02770	2.745	1.138	0	4.899	5.394	1.78	1.176	4.457	2.095	15.308	6.841	1.529	43.603	29.849	35.398
AT1G02780	7224.382	7124.145	6768.019	5631.601	5418.812	4736.497	5624.688	5364.76	5518.756	5257.589	5426.064	5473.055	5051.954	5290.05	4729.036
AT1G02790	6.176	5.69	5.904	5.716	3.596	4.745	2.351	41.007	8.381	21.262	212.083	52.765	413.234	356.831	850.518
AT1G02800	27.451	25.037	16.024	35.111	23.372	46.268	36.448	22.286	36.666	39.121	40.193	45.883	1.982	1.357	2.87
AT1G02810	0.686	5.69	4.217	3.266	1.798	0.593	0	3.566	2.095	0	2.566	3.059	0	0	0.957
AT1G02813	0	1.138	1.687	27.762	5.394	14.829	0	40.115	18.857	17.009	24.8	4.588	47.566	48.844	34.442
AT1G02816	244.313	245.817	182.167	176.37	204.958	180.918	156.372	166.702	131.998	204.963	191.558	151.413	1002.859	978.232	1224.593
AT1G02820	85.784	96.734	93.614	133.911	160.011	167.275	128.154	83.797	105.808	292.561	402.786	211.826	713.497	470.8	510.885
AT1G02830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02840	342.45	409.695	411.563	385.402	447.672	405.731	377.409	432.354	376.088	388.664	422.455	390.769	769.982	861.55	981.588
AT1G02850	275.195	59.178	55.662	106.149	89.894	74.147	117.573	138.175	157.14	169.243	138.538	177.414	166.483	240.148	183.689
AT1G02860	115.294	152.498	154.336	109.415	118.66	85.417	96.41	85.579	92.189	90.15	80.386	85.648	256.661	307.987	416.17
AT1G02870	223.725	174.12	214.215	104.516	174.394	113.296	176.359	208.6	200.092	147.131	187.283	187.355	220.986	226.581	158.814
AT1G02880	139.313	119.494	138.312	97.167	152.82	125.753	109.343	124.803	107.903	137.776	140.248	136.884	180.356	275.425	193.256
AT1G02890	224.411	127.461	171.203	246.592	219.341	221.254	161.075	159.57	202.187	203.262	224.91	237.826	323.055	358.188	323.369
AT1G02900	43.921	29.589	40.482	33.478	43.149	36.184	27.042	39.224	43.999	22.112	28.221	34.412	9.91	16.281	9.567
AT1G02910	291.665	295.891	217.589	253.124	233.724	279.385	241.024	221.972	219.996	260.243	158.207	213.355	211.076	229.294	191.343
AT1G02920	4218.512	2080.341	1616.734	1103.947	562.737	333.957	573.756	869.166	628.56	91	109.462	477.181	74.323	435.523	149.247
AT1G02930	7508.498	3312.841	2536.004	1820.043	927.706	634.103	1116.943	1551.127	1061.219	470.308	409.627	1072.893	278.462	811.349	238.222
AT1G02940	6.176	2.276	0.843	0	0	0	3.527	0	0	0	4.276	3.059	0	0	0
AT1G02950	81.666	77.387	85.18	93.901	88.096	71.774	98.761	41.898	53.428	62.084	87.227	61.942	33.693	35.276	66.013
AT1G02960	47.353	56.902	102.047	90.635	43.149	55.758	68.192	90.037	95.332	94.402	96.634	68.06	91.169	113.969	66.013
AT1G02965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02970	14.412	25.037	10.964	14.698	3.596	26.693	21.163	18.72	13.619	7.654	17.959	17.588	0	10.854	0.957
AT1G02980	1.373	0	0	0	0	0	0	0	0	0	0	0	0	0	1.913
AT1G02990	66.568	102.424	96.144	80.02	53.936	72.96	79.95	89.145	63.904	62.935	91.503	89.471	117.925	112.612	118.632
AT1G03000	76.862	67.144	119.758	110.231	80.905	83.044	72.895	53.487	67.046	79.093	67.559	54.295	26.756	8.141	44.009
AT1G03010	3.431	7.966	5.904	2.45	8.989	6.525	9.406	18.72	4.19	0.85	11.117	13.765	0.991	0	0.957
AT1G03020	0.686	0	5.06	1.633	8.989	0	1.176	0.891	1.048	0	0	0.765	11.892	4.07	1.913
AT1G03022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03030	100.196	83.077	102.047	103.699	113.266	131.092	77.598	76.665	108.95	86.748	101.765	99.413	147.654	128.893	164.555
AT1G03040	196.96	205.986	135.782	184.536	170.799	184.477	192.82	262.978	200.092	233.028	212.083	198.061	294.317	362.258	291.798
AT1G03050	0	0	2.53	4.083	0	0.593	0	1.783	0	0	3.421	0.765	10.901	21.708	57.403
AT1G03055	29.51	51.212	24.458	53.074	44.947	72.367	35.272	44.573	15.714	44.224	58.152	60.412	16.846	33.919	5.74
AT1G03060	91.96	71.697	43.012	120.846	115.064	107.365	62.314	114.997	78.57	84.196	96.634	111.648	116.934	143.818	110.022
AT1G03070	10.294	3.414	10.964	19.597	12.585	18.388	34.096	18.72	8.381	58.682	25.655	20.647	520.258	366.328	324.326
AT1G03080	119.411	112.666	181.324	186.169	142.033	167.868	208.104	156.896	212.663	193.907	229.186	219.473	529.177	792.354	597.946
AT1G03090	239.509	244.679	275.781	156.774	149.224	200.493	96.41	130.152	95.332	151.383	129.131	95.589	155.582	181.807	226.741
