"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g09560"	973.5	872	927	1249	1232	1129
"LOC_Os01g09570"	1408	1477	1213	2505	3252	2164
"LOC_Os01g09640"	472	602	490	2889	3746	3230
"LOC_Os01g09770"	656	757	554	803	765	701
"LOC_Os01g09890"	1083	1238	975	1180	1210	1167
"LOC_Os01g10080"	246	253.5	240.5	455	574.67	446.5
"LOC_Os01g10210"	354	324	213	1519	1973	1219
"LOC_Os01g10290"	615.5	609.5	532	591	627	483
"LOC_Os01g10400"	91298	125305.83	59741	178889	179672.5	177715
"LOC_Os01g10610"	512	576	369	398	470	329
"LOC_Os01g10820"	866	971	954	1562	1561	1560
"LOC_Os01g10840"	765	781	667	813	925	687
"LOC_Os01g10890"	152	162	121	1736	2106	1630
"LOC_Os01g11240"	3078	2939	2795	6090	7347	5827.14
"LOC_Os01g11570"	487	483	349.33	387	371	313
"LOC_Os01g11600"	28	21	23	240	138	255
"LOC_Os01g11650"	3253	2996	2571	1166	1182	1287
"LOC_Os01g11900"	2701	2422.25	2523	1519	1448	1358
"LOC_Os01g12080"	2494	2070	1819	2780	3871	2121
"LOC_Os01g12100"	1143	1341	1000	2135	2880	1938
"LOC_Os01g12190"	800	778	617	465	566	525
"LOC_Os01g12200"	2255	2726	2022	2254	2340	2287.5
"LOC_Os01g12270"	371	557	270	651	665	860
"LOC_Os01g12650"	142	163	168	187	171	121
"LOC_Os01g12710"	7643	9017	5767	3983	3347	4379
"LOC_Os01g12730"	1220	928	864	760	944	647
"LOC_Os01g12880"	1194	1213	1049	1568	1472.5	1333
"LOC_Os01g13030"	1144	1116	1015	1140	1261	1134
"LOC_Os01g13160"	920	792	674	854	865	738
"LOC_Os01g13170"	794	772	583	749	930	710
"LOC_Os01g13190"	1368	1502	1374	1833	1886	1739
"LOC_Os01g13200"	1178	1149.75	1101	1595	1660	1276
"LOC_Os01g13210"	9243.5	8105.5	6249	3061	2834	2869
"LOC_Os01g13390"	550	552	575	1271	1795	1348
"LOC_Os01g13480"	2278	2255	1637	4195	4582	3829
"LOC_Os01g13540"	1927	1741	1597	1671	2036	1509
"LOC_Os01g13570"	4438.5	4815	4064	3571	4268	3428
"LOC_Os01g13690"	1572	1669	1273	5649	7635	7681.33
"LOC_Os01g13740"	2729	3116	1776	4240	4700.5	4418
"LOC_Os01g13770"	3733.92	4759	2985	3283.5	2883	3524
"LOC_Os01g14050"	697	712	634	2006	1817	1535
"LOC_Os01g14070"	463	362	337	500	540	514
"LOC_Os01g14410"	11092	13308.25	12839	19140.25	18482	21923
"LOC_Os01g14440"	2610	3509	2083	1744.67	1776	2091
"LOC_Os01g14580"	451	436	408	420	415	304
"LOC_Os01g14590"	69	100	114	27	25	24
"LOC_Os01g14670"	117	123	129	194	118	121
"LOC_Os01g14690"	2118	2215	1882	1471	1639	1429
"LOC_Os01g14950"	2838	2914	2599	4055	4259	3426
"LOC_Os01g15000"	575	630	455	782	740	810
"LOC_Os01g15010"	2245	2375.5	1909	2042	2273	1839
"LOC_Os01g15020"	2944	2612	2383	2732	2837	2088
"LOC_Os01g15029"	463	449	435	511	560	445
"LOC_Os01g15110"	1688	1702	1434	1720	1929	1496
"LOC_Os01g15120"	2449	2970	2057	3104	2865	2991
"LOC_Os01g15260"	512	599	464	603	705	620
